# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 50000 --inactive 100 --source Histogram --Iterations\n 25 --active 100 --seed 0 --bins 75 --run --relaxed 2.5e-05 -f Relaxed/LessAggressive/50mfp/5E4/50mfp.r2.5e-05.dat , seed\n = 2264032524
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 2.5e-05, run = true, filename = Relaxed/LessAggressive/50mfp/5E4/50mfp.r2.5e-05.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 100, inactive = 100, tracks = 50000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   50000        3.68984       1.25E+06     0.994416     0             1.25E+06     0            0             1.25E+06     0.994416      1.25E+06     0             1.25E+06     0.984839     0             1.25E+06     0            0             1.25E+06     0.984839      1.25E+06     0             1.25E+06     0.966179     0             1.25E+06     0.00220333   0             1.25E+06     0.966179      1.25E+06     0.00220333    1.25E+06     3.92832       1.25E+06     4.02389       1.26181E+08  0             0.333333     0.00725134   0.00114775    0.333333     -6.96087E-05 -5.4773E-05   0.333333     -0.0169676   0.00116978    0.333333     -0.00122509  -6.97595E-05  0.333333     0.0260106    0.00121389    0.333333     -5.43857E-05 -4.40807E-05  
   100000       3.79607       2.5E+06      0.998339     0             2.5E+06      0            0             2.5E+06      0.998339      2.5E+06      0             2.5E+06      0.991729     0             2.5E+06      0            0             2.5E+06      0.991729      2.5E+06      0             2.5E+06      0.977212     0             2.5E+06      0            0             2.5E+06      0.977212      2.5E+06      0             2.5E+06      7.85086       2.5E+06      4.01269       1.27431E+08  5942.63       1            0.0119531    0.0018717     1            -0.000125852 -9.0335E-05   1            -0.0279153   0.00182185    1            -0.00199518  -0.000102019  1            0.0430596    0.0019149     1            -8.9771E-05  -0.000100028  
   150000       3.92705       3.75E+06     0.997297     0             3.75E+06     0            0             3.75E+06     0.997297      3.75E+06     0             3.75E+06     0.986269     0             3.75E+06     0            0             3.75E+06     0.986269      3.75E+06     0             3.75E+06     0.980078     0             3.75E+06     0            0             3.75E+06     0.980078      3.75E+06     0             3.75E+06     11.7459       3.75E+06     4.09368       1.28681E+08  2095.42       1.66667      0.0171887    0.00247919    1.66667      -4.82114E-06 -0.000137239  1.66667      -0.0381858   0.00246333    1.66667      -0.00279544  -0.000172404  1.66667      0.0592217    0.0024013     1.66667      -0.000111483 -0.000143312  
   200000       3.97306       5E+06        0.995703     0             5E+06        0.00253893   0             5E+06        0.995703      5E+06        0.00253893    5E+06        0.995703     0             5E+06        -0.00253893  0             5E+06        0.995703      5E+06        -0.00253893   5E+06        0.97256      0             5E+06        0            0             5E+06        0.97256       5E+06        0             5E+06        15.6577       5E+06        3.98973       1.29931E+08  1767.55       2.33333      0.0218392    0.00320374    2.33333      0.000117906  -0.000201677  2.33333      -0.0484106   0.00304279    2.33333      -0.00349921  -0.000209778  2.33333      0.0748583    0.00287522    2.33333      -0.000179337 -0.000150699  
   250000       3.99187       6.25E+06     0.992768     0             6.25E+06     0            0             6.25E+06     0.992768      6.25E+06     0             6.25E+06     0.991262     0             6.25E+06     0            0             6.25E+06     0.991262      6.25E+06     0             6.25E+06     0.974933     0             6.25E+06     0            0             6.25E+06     0.974933      6.25E+06     0             6.25E+06     19.5656       6.25E+06     4.02559       1.31181E+08  2343.31       3            0.0270682    0.00377043    3            0.000199655  -0.000225562  3            -0.05702     0.00360432    3            -0.00405857  -0.000235381  3            0.0883877    0.00335233    3            -0.000199909 -0.000195798  
   300000       4.03893       7.5E+06      0.996939     0             7.5E+06      0            0             7.5E+06      0.996939      7.5E+06      0             7.5E+06      0.986467     0             7.5E+06      0            0             7.5E+06      0.986467      7.5E+06      0             7.5E+06      0.975826     0             7.5E+06      0            0             7.5E+06      0.975826      7.5E+06      0             7.5E+06      23.4841       7.5E+06      3.99743       1.32431E+08  3369.63       3.66667      0.0331668    0.00425448    3.66667      0.000242891  -0.000297665  3.66667      -0.0663219   0.00410561    3.66667      -0.00479253  -0.000295349  3.66667      0.101669     0.00371256    3.66667      -0.000191966 -0.000210736  
   350000       4.07561       8.75E+06     1.00341      0             8.75E+06     0            0             8.75E+06     1.00341       8.75E+06     0             8.75E+06     0.980996     0             8.75E+06     0.00208637   0             8.75E+06     0.980996      8.75E+06     0.00208637    8.75E+06     0.980996     0             8.75E+06     -0.00208637  0             8.75E+06     0.980996      8.75E+06     -0.00208637   8.75E+06     27.3958       8.75E+06     3.98719       1.33681E+08  4490.5        4.33333      0.0376629    0.00462837    4.33333      0.000347428  -0.000336585  4.33333      -0.0738583   0.00449234    4.33333      -0.00524984  -0.000328057  4.33333      0.112748     0.00397683    4.33333      -0.000128534 -0.00026723   
   400000       4.07472       1E+07        1.00013      0             1E+07        0            0             1E+07        1.00013       1E+07        0             1E+07        0.991989     0             1E+07        0            0             1E+07        0.991989      1E+07        0             1E+07        0.973121     0             1E+07        0            0             1E+07        0.973121      1E+07        0             1E+07        31.3105       1E+07        4.13621       1.34931E+08  4368.78       5            0.0424087    0.00516769    5            0.000504864  -0.000367993  5            -0.0829929   0.00492157    5            -0.00560352  -0.000371756  5            0.122376     0.00434631    5            -5.77647E-05 -0.00030463   
   450000       4.03628       1.125E+07    0.993712     0             1.125E+07    0            0             1.125E+07    0.993712      1.125E+07    0             1.125E+07    0.982429     0             1.125E+07    0.00298428   0             1.125E+07    0.982429      1.125E+07    0.00298428    1.125E+07    0.982429     0             1.125E+07    -0.00298428  0             1.125E+07    0.982429      1.125E+07    -0.00298428   1.125E+07    35.2309       1.125E+07    4.04302       1.36181E+08  1749.63       5.66667      0.0478001    0.00555383    5.66667      0.000617757  -0.000418569  5.66667      -0.0906834   0.00532043    5.66667      -0.00598432  -0.000435335  5.66667      0.130665     0.00452711    5.66667      6.40449E-05  -0.000329021  
   500000       4.03487       1.25E+07     0.99079      0             1.25E+07     0.00307566   0             1.25E+07     0.99079       1.25E+07     0.00307566    1.25E+07     0.99079      0             1.25E+07     -0.00307566  0             1.25E+07     0.99079       1.25E+07     -0.00307566   1.25E+07     0.979449     0             1.25E+07     0            0             1.25E+07     0.979449      1.25E+07     0             1.25E+07     39.1623       1.25E+07     4.05476       1.37431E+08  2111.32       6.33333      0.0535347    0.00592771    6.33333      0.000643938  -0.000445372  6.33333      -0.0982439   0.00568261    6.33333      -0.00620531  -0.000480256  6.33333      0.13692      0.00478583    6.33333      0.000316812  -0.000378491  
