# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 50000 --inactive 100 --source Histogram --Iterations\n 25 --active 100 --seed 0 --bins 75 --run --relaxed 5e-07 -f Relaxed/LessAggressive/50mfp/5E4/50mfp.r5e-07.dat , seed\n = 2834386424
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 5e-07, run = true, filename = Relaxed/LessAggressive/50mfp/5E4/50mfp.r5e-07.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 100, inactive = 100, tracks = 50000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   50000        3.71625       1.25E+06     0.994042     0             1.25E+06     0            0             1.25E+06     0.994042      1.25E+06     0             1.25E+06     0.989205     0             1.25E+06     0            0             1.25E+06     0.989205      1.25E+06     0             1.25E+06     0.968496     0             1.25E+06     0            0             1.25E+06     0.968496      1.25E+06     0             1.25E+06     3.88031       1.25E+06     3.95393       1.2625E+08   0             0.333333     -0.00699112  0.00105374    0.333333     6.42734E-05  -3.82102E-05  0.333333     -0.0134283   0.00130159    0.333333     -0.00014961  -3.83441E-05  0.333333     0.0271885    0.00133384    0.333333     -2.05364E-05 8.42223E-06   
   100000       3.85218       2.5E+06      0.995287     0             2.5E+06      0            0             2.5E+06      0.995287      2.5E+06      0             2.5E+06      0.984164     0             2.5E+06      0            0             2.5E+06      0.984164      2.5E+06      0             2.5E+06      0.973872     0             2.5E+06      0            0             2.5E+06      0.973872      2.5E+06      0             2.5E+06      7.77774       2.5E+06      3.97087       1.275E+08    31141.1       1            -0.0121234   0.00172839    1            0.000130655  -4.62296E-05  1            -0.0219186   0.00213524    1            -0.00016612  -5.77955E-05  1            0.0453323    0.00216874    1            4.1311E-05   -1.40593E-05  
   150000       3.95372       3.75E+06     0.997179     0             3.75E+06     0            0             3.75E+06     0.997179      3.75E+06     0             3.75E+06     0.993653     0             3.75E+06     0            0             3.75E+06     0.993653      3.75E+06     0             3.75E+06     0.979258     0             3.75E+06     0            0             3.75E+06     0.979258      3.75E+06     0             3.75E+06     11.6806       3.75E+06     4.07062       1.2875E+08   8250.4        1.66667      -0.0167615   0.00229284    1.66667      0.000187122  -5.74752E-05  1.66667      -0.0306688   0.00286354    1.66667      -0.000156063 -7.93629E-05  1.66667      0.061872     0.00290425    1.66667      0.000113608  -2.1232E-05   
   200000       4.01853       5E+06        0.999192     0             5E+06        0            0             5E+06        0.999192      5E+06        0             5E+06        0.987854     0             5E+06        0            0             5E+06        0.987854      5E+06        0             5E+06        0.979599     0             5E+06        0            0             5E+06        0.979599      5E+06        0             5E+06        15.5812       5E+06        4.07203       1.3E+08      395861        2.33333      -0.0223289   0.00294428    2.33333      0.000186595  -5.40113E-05  2.33333      -0.0390351   0.00361989    2.33333      -0.000177293 -8.11876E-05  2.33333      0.0770684    0.00351734    2.33333      2.10528E-06  -4.84259E-05  
   250000       4.0233        6.25E+06     0.996674     0             6.25E+06     0            0             6.25E+06     0.996674      6.25E+06     0             6.25E+06     0.992637     0             6.25E+06     0            0             6.25E+06     0.992637      6.25E+06     0             6.25E+06     0.969082     0             6.25E+06     0            0             6.25E+06     0.969082      6.25E+06     0             6.25E+06     19.5199       6.25E+06     4.07083       1.3125E+08   1.15957E+06   3            -0.0277194   0.00352334    3            8.83771E-05  -0.000101265  3            -0.0477446   0.00425834    3            -0.000311373 -0.000102151  3            0.0912546    0.0039445     3            3.61937E-05  -4.61216E-05  
   300000       4.06324       7.5E+06      1.00149      0             7.5E+06      0            0             7.5E+06      1.00149       7.5E+06      0             7.5E+06      0.987659     0             7.5E+06      0            0             7.5E+06      0.987659      7.5E+06      0             7.5E+06      0.972456     0             7.5E+06      0            0             7.5E+06      0.972456      7.5E+06      0             7.5E+06      23.4538       7.5E+06      4.07285       1.325E+08    16243.7       3.66667      -0.0324077   0.00407807    3.66667      0.000163433  -0.000143128  3.66667      -0.0549399   0.00472495    3.66667      -0.000422063 -0.000100574  3.66667      0.103577     0.0043086     3.66667      -1.30403E-05 -3.77858E-05  
   350000       4.02098       8.75E+06     0.999324     0             8.75E+06     0            0             8.75E+06     0.999324      8.75E+06     0             8.75E+06     0.987524     0             8.75E+06     0            0             8.75E+06     0.987524      8.75E+06     0             8.75E+06     0.973859     0             8.75E+06     0            0             8.75E+06     0.973859      8.75E+06     0             8.75E+06     27.3897       8.75E+06     4.12152       1.3375E+08   3682.58       4.33333      -0.0372092   0.00452505    4.33333      0.000106383  -0.000155309  4.33333      -0.0631541   0.0051973     4.33333      -0.000138713 -0.000103486  4.33333      0.116084     0.00460815    4.33333      -4.01283E-05 -3.59351E-05  
   400000       4.02543       1E+07        1.00114      0             1E+07        0            0             1E+07        1.00114       1E+07        0             1E+07        0.989797     0             1E+07        0            0             1E+07        0.989797      1E+07        0             1E+07        0.977351     0             1E+07        0            0             1E+07        0.977351      1E+07        0             1E+07        31.2811       1E+07        4.01918       1.35E+08     4798.46       5            -0.0420388   0.00500026    5            0.000307876  -0.000179914  5            -0.0700377   0.0055417     5            -0.000186029 -0.000153405  5            0.125291     0.00464196    5            6.94439E-05  -1.46985E-05  
   450000       4.05588       1.125E+07    0.998226     0             1.125E+07    0            0             1.125E+07    0.998226      1.125E+07    0             1.125E+07    0.993379     0             1.125E+07    0            0             1.125E+07    0.993379      1.125E+07    0             1.125E+07    0.977526     0             1.125E+07    0            0             1.125E+07    0.977526      1.125E+07    0             1.125E+07    35.185        1.125E+07    4.08817       1.3625E+08   6004.7        5.66667      -0.0462057   0.00532038    5.66667      0.000258122  -0.000218975  5.66667      -0.0773288   0.00573414    5.66667      -0.000278413 -0.000218201  5.66667      0.131662     0.00475228    5.66667      0.000142124  2.35338E-05   
   500000       4.09691       1.25E+07     1.00111      0             1.25E+07     0            0             1.25E+07     1.00111       1.25E+07     0             1.25E+07     0.988732     0             1.25E+07     0            0             1.25E+07     0.988732      1.25E+07     0             1.25E+07     0.978605     0             1.25E+07     0            0             1.25E+07     0.978605      1.25E+07     0             1.25E+07     39.0837       1.25E+07     4.08643       1.375E+08    3641.99       6.33333      -0.0507094   0.00555658    6.33333      0.000297371  -0.000276075  6.33333      -0.0838459   0.00595431    6.33333      -0.000403877 -0.000256731  6.33333      0.137224     0.00474892    6.33333      0.000252706  7.21527E-05   
   550000       4.12552       1.375E+07    1.00362      0             1.375E+07    0            0             1.375E+07    1.00362       1.375E+07    0             1.375E+07    0.986117     0             1.375E+07    0            0             1.375E+07    0.986117      1.375E+07    0             1.375E+07    0.977089     0             1.375E+07    0            0             1.375E+07    0.977089      1.375E+07    0             1.375E+07    42.9788       1.375E+07    4.10058       1.3875E+08   3882.63       7            -0.0557573   0.00589978    7            0.000144254  -0.000335789  7            -0.0907613   0.00603624    7            -0.000348689 -0.000274788  7            0.139817     0.00483234    7            0.00038287   0.000124283   
   600000       4.13277       1.5E+07      0.997875     0             1.5E+07      0            0             1.5E+07      0.997875      1.5E+07      0             1.5E+07      0.989184     0             1.5E+07      0            0             1.5E+07      0.989184      1.5E+07      0             1.5E+07      0.980524     0             1.5E+07      0            0             1.5E+07      0.980524      1.5E+07      0             1.5E+07      46.8803       1.5E+07      4.13172       1.4E+08      4324.57       7.66667      -0.0600357   0.0061422     7.66667      -0.000105271 -0.000428627  7.66667      -0.096597    0.00619706    7.66667      -0.000531336 -0.000301881  7.66667      0.140823     0.00488011    7.66667      0.000689403  0.000169309   
   650000       4.14227       1.625E+07    0.997682     0             1.625E+07    0            0             1.625E+07    0.997682      1.625E+07    0             1.625E+07    0.993856     0             1.625E+07    0            0             1.625E+07    0.993856      1.625E+07    0             1.625E+07    0.972487     0             1.625E+07    0            0             1.625E+07    0.972487      1.625E+07    0             1.625E+07    50.798        1.625E+07    3.97806       1.4125E+08   5056.59       8.33333      -0.0639992   0.00633811    8.33333      -0.000365771 -0.000534391  8.33333      -0.102219    0.00618734    8.33333      -0.000726256 -0.000251058  8.33333      0.139601     0.00492457    8.33333      0.000735374  0.000194807   
   700000       4.14021       1.75E+07     0.993054     0             1.75E+07     0.00696251   0             1.75E+07     0.993054      1.75E+07     0.00696251    1.75E+07     0.993054     0             1.75E+07     -0.00696251  0             1.75E+07     0.993054      1.75E+07     -0.00696251   1.75E+07     0.981111     0             1.75E+07     0            0             1.75E+07     0.981111      1.75E+07     0             1.75E+07     54.7096       1.75E+07     4.11662       1.425E+08    5280.33       9            -0.0685231   0.00636293    9            -0.000541139 -0.000573568  9            -0.107045    0.00616574    9            -0.00105     -0.000310239  9            0.136191     0.00481803    9            0.000886777  0.000239371   
   750000       4.05402       1.875E+07    0.996605     0             1.875E+07    0            0             1.875E+07    0.996605      1.875E+07    0             1.875E+07    0.987376     0             1.875E+07    0            0             1.875E+07    0.987376      1.875E+07    0             1.875E+07    0.977252     0             1.875E+07    0            0             1.875E+07    0.977252      1.875E+07    0             1.875E+07    58.6424       1.875E+07    4.06711       1.4375E+08   4620.61       9.66667      -0.0728698   0.00644882    9.66667      -0.000771875 -0.000658688  9.66667      -0.111027    0.0061744     9.66667      -0.00161579  -0.000315533  9.66667      0.131343     0.0047219     9.66667      0.001028     0.000221414   
   800000       4.05065       2E+07        0.996839     0             2E+07        0.0019553    0             2E+07        0.996839      2E+07        0.0019553     2E+07        0.996839     0             2E+07        -0.0019553   0             2E+07        0.996839      2E+07        -0.0019553    2E+07        0.976851     0             2E+07        0            0             2E+07        0.976851      2E+07        0             2E+07        62.5443       2E+07        4.05785       1.45E+08     5211.09       10.3333      -0.0771626   0.00647056    10.3333      -0.00111012  -0.000684289  10.3333      -0.114019    0.00594132    10.3333      -0.00171307  -0.000327867  10.3333      0.124129     0.00472388    10.3333      0.0012901    0.000177854   
