# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 5000000 --inactive 100 --source Histogram --Iterations\n 25 --active 163 --seed 0 --bins 75 --run --relaxed 0.00075 -f Relaxed/LessAggressive/50mfp/5E6/50mfp.r0.00075.dat ,\n seed = 3088828739
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 0.00075, run = true, filename = Relaxed/LessAggressive/50mfp/5E6/50mfp.r0.00075.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 163, inactive = 100, tracks = 5000000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   5E+06        3.12166       8.8809E+07   0.997144     0             8.8809E+07   0            0             8.8809E+07   0.997144      8.8809E+07   0             8.8809E+07   0.989866     0             8.8809E+07   0            0             8.8809E+07   0.989866      8.8809E+07   0             8.8809E+07   0.977512     0             8.8809E+07   0            0             8.8809E+07   0.977512      8.8809E+07   0             8.8809E+07   273.15        8.8809E+07   3.9537        9.50982E+09  0             0.333333     -0.0100294   9.11616E-05   0.333333     0            0             0.333333     0.020013     8.23712E-05   0.333333     0            0             0.333333     0.0298083    9.81464E-05   0.333333     0            0             
   1E+07        2.89682       1.87904E+08  0.997458     0             1.87904E+08  0            0             1.87904E+08  0.997458      1.87904E+08  0             1.87904E+08  0.989746     0             1.87904E+08  0            0             1.87904E+08  0.989746      1.87904E+08  0             1.87904E+08  0.97743      0             1.87904E+08  0            0             1.87904E+08  0.97743       1.87904E+08  0             1.87904E+08  583.168       1.87904E+08  4.19685       9.60302E+09  9072.33       1            -0.0168821   0.000151986   1            0            0             1            0.0335459    0.000136055   1            0            0             1            0.0497383    0.000158104   1            0            0             
   1.5E+07      2.97347       2.85269E+08  0.99676      0             2.85269E+08  0            0             2.85269E+08  0.99676       2.85269E+08  0             2.85269E+08  0.98971      0             2.85269E+08  0            0             2.85269E+08  0.98971       2.85269E+08  0             2.85269E+08  0.976988     0             2.85269E+08  0            0             2.85269E+08  0.976988      2.85269E+08  0             2.85269E+08  886.074       2.85269E+08  4.07132       9.693E+09    1524.08       1.66667      -0.0234354   0.000208853   1.66667      0            0             1.66667      0.0464037    0.000182188   1.66667      0            0             1.66667      0.0682352    0.000214578   1.66667      0            0             
   2E+07        2.96937       3.84793E+08  0.996955     0             3.84793E+08  0            0             3.84793E+08  0.996955      3.84793E+08  0             3.84793E+08  0.989706     0             3.84793E+08  0            0             3.84793E+08  0.989706      3.84793E+08  0             3.84793E+08  0.977362     0             3.84793E+08  0            0             3.84793E+08  0.977362      3.84793E+08  0             3.84793E+08  1197.08       3.84793E+08  4.04601       9.77528E+09  2588.79       2.33333      -0.0299719   0.000263491   2.33333      0            0             2.33333      0.0588282    0.000224903   2.33333      0            0             2.33333      0.0855125    0.000267234   2.33333      0            0             
   2.5E+07      3.08521       4.73922E+08  0.997526     0             4.73922E+08  0            0             4.73922E+08  0.997526      4.73922E+08  0             4.73922E+08  0.988988     0             4.73922E+08  0            0             4.73922E+08  0.988988      4.73922E+08  0             4.73922E+08  0.977442     0             4.73922E+08  0            0             4.73922E+08  0.977442      4.73922E+08  0             4.73922E+08  1476.27       4.73922E+08  4.04292       9.86893E+09  2633.63       3            -0.0363503   0.000311464   3            0            0             3            0.0708258    0.000264959   3            0            0             3            0.101467     0.00031611    3            0            0             
   3E+07        3.14474       5.65029E+08  0.996995     0             5.65029E+08  0            0             5.65029E+08  0.996995      5.65029E+08  0             5.65029E+08  0.989728     0             5.65029E+08  0            0             5.65029E+08  0.989728      5.65029E+08  0             5.65029E+08  0.97736      0             5.65029E+08  0            0             5.65029E+08  0.97736       5.65029E+08  0             5.65029E+08  1762.42       5.65029E+08  4.09095       9.95233E+09  3714.64       3.66667      -0.0427085   0.00035523    3.66667      0            0             3.66667      0.0822837    0.000300604   3.66667      0            0             3.66667      0.115846     0.000348048   3.66667      0            0             
   3.5E+07      3.29007       6.61466E+08  0.997239     0             6.61466E+08  0            0             6.61466E+08  0.997239      6.61466E+08  0             6.61466E+08  0.989902     0             6.61466E+08  0            0             6.61466E+08  0.989902      6.61466E+08  0             6.61466E+08  0.977297     0             6.61466E+08  0            0             6.61466E+08  0.977297      6.61466E+08  0             6.61466E+08  2063.55       6.61466E+08  3.85235       1.00525E+10  5005.16       4.33333      -0.0489514   0.000392644   4.33333      0            0             4.33333      0.0932834    0.000334857   4.33333      0            0             4.33333      0.128572     0.000377887   4.33333      0            0             
   4E+07        3.32895       7.45918E+08  0.997428     0             7.45918E+08  0            0             7.45918E+08  0.997428      7.45918E+08  0             7.45918E+08  0.989719     0             7.45918E+08  0            0             7.45918E+08  0.989719      7.45918E+08  0             7.45918E+08  0.976671     0             7.45918E+08  0            0             7.45918E+08  0.976671      7.45918E+08  0             7.45918E+08  2328.14       7.45918E+08  3.97055       1.01477E+10  4332.09       5            -0.0551082   0.000429353   5            0            0             5            0.103703     0.000355915   5            0            0             5            0.139367     0.000398174   5            0            0             
   4.5E+07      3.41824       8.3549E+08   0.997314     0             8.3549E+08   0            0             8.3549E+08   0.997314      8.3549E+08   0             8.3549E+08   0.990086     0             8.3549E+08   0            0             8.3549E+08   0.990086      8.3549E+08   0             8.3549E+08   0.977235     0             8.3549E+08   0            0             8.3549E+08   0.977235      8.3549E+08   0             8.3549E+08   2607.83       8.3549E+08   4.11943       1.02418E+10  5324.84       5.66667      -0.0611979   0.00046594    5.66667      0            0             5.66667      0.113392     0.000381908   5.66667      0            0             5.66667      0.148093     0.000412942   5.66667      0            0             
   5E+07        3.46909       9.25598E+08  0.997598     0             9.25598E+08  0            0             9.25598E+08  0.997598      9.25598E+08  0             9.25598E+08  0.989623     0             9.25598E+08  0            0             9.25598E+08  0.989623      9.25598E+08  0             9.25598E+08  0.977358     0             9.25598E+08  0            0             9.25598E+08  0.977358      9.25598E+08  0             9.25598E+08  2888.84       9.25598E+08  4.14884       1.03387E+10  5673.25       6.33333      -0.0671534   0.000500799   6.33333      0            0             6.33333      0.122372     0.000404547   6.33333      0            0             6.33333      0.154643     0.00042097    6.33333      0            0             
