# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 5000000 --inactive 100 --source Histogram --Iterations\n 25 --active 100 --seed 0 --bins 75 --run --relaxed 0 -f Relaxed/LessAggressive/50mfp/5E6/50mfp.r0.dat , seed = 871625655
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 0, run = true, filename = Relaxed/LessAggressive/50mfp/5E6/50mfp.r0.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 100, inactive = 100, tracks = 5000000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   5E+06        3.14333       1.25E+08     0.997829     0             1.25E+08     0            0             1.25E+08     0.997829      1.25E+08     0             1.25E+08     0.989532     0             1.25E+08     0            0             1.25E+08     0.989532      1.25E+08     0             1.25E+08     0.977287     0             1.25E+08     0            0             1.25E+08     0.977287      1.25E+08     0             1.25E+08     770.272       1.25E+08     3.94263       1.2625E+10   0             0.333333     0.00995959   0.000111517   0.333333     0            0             0.333333     -0.0200431   0.000113204   0.333333     0            0             0.333333     -0.0298348   0.000114568   0.333333     0            0             
   1E+07        2.99009       2.5E+08      0.997356     0             2.5E+08      0            0             2.5E+08      0.997356      2.5E+08      0             2.5E+08      0.989679     0             2.5E+08      0            0             2.5E+08      0.989679      2.5E+08      0             2.5E+08      0.976982     0             2.5E+08      0            0             2.5E+08      0.976982      2.5E+08      0             2.5E+08      1362.26       2.5E+08      3.93829       1.275E+10    223.853       1            0.0167542    0.000185558   1            0            0             1            -0.0335621   0.000191128   1            0            0             1            -0.0498298   0.000198894   1            0            0             
   1.5E+07      2.96267       3.75E+08     0.996786     0             3.75E+08     0            0             3.75E+08     0.996786      3.75E+08     0             3.75E+08     0.989476     0             3.75E+08     0            0             3.75E+08     0.989476      3.75E+08     0             3.75E+08     0.977469     0             3.75E+08     0            0             3.75E+08     0.977469      3.75E+08     0             3.75E+08     1756.43       3.75E+08     4.1817        1.2875E+10   451.645       1.66667      0.0233076    0.000258149   1.66667      0            0             1.66667      -0.0464229   0.000251754   1.66667      0            0             1.66667      -0.068249    0.00026699    1.66667      0            0             
   2E+07        2.99473       5E+08        0.997401     0             5E+08        0            0             5E+08        0.997401      5E+08        0             5E+08        0.989514     0             5E+08        0            0             5E+08        0.989514      5E+08        0             5E+08        0.977163     0             5E+08        0            0             5E+08        0.977163      5E+08        0             5E+08        2147.5        5E+08        4.13978       1.3E+10      780.36        2.33333      0.0297841    0.000322263   2.33333      0            0             2.33333      -0.0587659   0.000318845   2.33333      0            0             2.33333      -0.08552     0.000319431   2.33333      0            0             
   2.5E+07      3.1256        6.25E+08     0.996823     0             6.25E+08     0            0             6.25E+08     0.996823      6.25E+08     0             6.25E+08     0.989793     0             6.25E+08     0            0             6.25E+08     0.989793      6.25E+08     0             6.25E+08     0.977481     0             6.25E+08     0            0             6.25E+08     0.977481      6.25E+08     0             6.25E+08     2539.67       6.25E+08     3.98603       1.3125E+10   1205.02       3            0.0362476    0.000387775   3            0            0             3            -0.0707324   0.000375449   3            0            0             3            -0.101497    0.00036889    3            0            0             
   3E+07        3.2123        7.5E+08      0.997359     0             7.5E+08      0            0             7.5E+08      0.997359      7.5E+08      0             7.5E+08      0.98979      0             7.5E+08      0            0             7.5E+08      0.98979       7.5E+08      0             7.5E+08      0.977235     0             7.5E+08      0            0             7.5E+08      0.977235      7.5E+08      0             7.5E+08      2931.58       7.5E+08      4.13593       1.325E+10    1167.13       3.66667      0.0425757    0.000449495   3.66667      0            0             3.66667      -0.0822171   0.00042591    3.66667      0            0             3.66667      -0.116001    0.000415386   3.66667      0            0             
   3.5E+07      3.28878       8.75E+08     0.997384     0             8.75E+08     0            0             8.75E+08     0.997384      8.75E+08     0             8.75E+08     0.989773     0             8.75E+08     0            0             8.75E+08     0.989773      8.75E+08     0             8.75E+08     0.977679     0             8.75E+08     0            0             8.75E+08     0.977679      8.75E+08     0             8.75E+08     3324.76       8.75E+08     4.11359       1.3375E+10   1572.1        4.33333      0.0489059    0.000505655   4.33333      0            0             4.33333      -0.0932356   0.00046909    4.33333      0            0             4.33333      -0.128782    0.000457291   4.33333      0            0             
   4E+07        3.35468       1E+09        0.997225     0             1E+09        0            0             1E+09        0.997225      1E+09        0             1E+09        0.988931     0             1E+09        0            0             1E+09        0.988931      1E+09        0             1E+09        0.977342     0             1E+09        0            0             1E+09        0.977342      1E+09        0             1E+09        3719.09       1E+09        4.02214       1.35E+10     1073.82       5            0.0550901    0.000548255   5            0            0             5            -0.103603    0.000509561   5            0            0             5            -0.139597    0.00048445    5            0            0             
   4.5E+07      3.45363       1.125E+09    0.997422     0             1.125E+09    0            0             1.125E+09    0.997422      1.125E+09    0             1.125E+09    0.989371     0             1.125E+09    0            0             1.125E+09    0.989371      1.125E+09    0             1.125E+09    0.976302     0             1.125E+09    0            0             1.125E+09    0.976302      1.125E+09    0             1.125E+09    4113.53       1.125E+09    3.99589       1.3625E+10   1326.91       5.66667      0.0610746    0.000587385   5.66667      0            0             5.66667      -0.11332     0.000548879   5.66667      0            0             5.66667      -0.148334    0.000505015   5.66667      0            0             
   5E+07        3.52369       1.25E+09     0.997223     0             1.25E+09     0            0             1.25E+09     0.997223      1.25E+09     0             1.25E+09     0.989114     0             1.25E+09     0            0             1.25E+09     0.989114      1.25E+09     0             1.25E+09     0.977794     0             1.25E+09     0            0             1.25E+09     0.977794      1.25E+09     0             1.25E+09     4506.75       1.25E+09     4.06452       1.375E+10    1614.78       6.33333      0.067013     0.000615672   6.33333      0            0             6.33333      -0.122301    0.000589528   6.33333      0            0             6.33333      -0.154788    0.000519512   6.33333      0            0             
