# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 5000000 --inactive 100 --source Histogram --Iterations\n 25 --active 100 --seed 0 --bins 75 --run --relaxed 1.0 -f Relaxed/LessAggressive/50mfp/5E6/50mfp.r1.0.dat , seed =\n 1441637580
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 1, run = true, filename = Relaxed/LessAggressive/50mfp/5E6/50mfp.r1.0.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 100, inactive = 100, tracks = 5000000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   5E+06        3.11677       1.06031E+07  0.9981       0             1.06031E+07  0            0             1.06031E+07  0.9981        1.06031E+07  0             1.06031E+07  0.982309     0             1.06031E+07  0.0102509    0             1.06031E+07  0.982309      1.06031E+07  0.0102509     1.06031E+07  0.982309     0             1.06031E+07  -0.0102509   0             1.06031E+07  0.982309      1.06031E+07  -0.0102509    1.06031E+07  31.0772       1.06031E+07  4.01652       1.10481E+09  0             0.333333     0.00957503   0.000868673   0.333333     -7.03489E-05 -4.70893E-05  0.333333     0.0139144    0.00137902    0.333333     0.000588424  -1.06432E-05  0.333333     0.0288747    0.00147805    0.333333     0.00053967   -7.25115E-05  
   5.14559E+06  3.00684       2.11736E+07  0.995084     0             2.11736E+07  0            0             2.11736E+07  0.995084      2.11736E+07  0             2.11736E+07  0.985032     0             2.11736E+07  0.00276873   0             2.11736E+07  0.985032      2.11736E+07  0.00276873    2.11736E+07  0.985032     0             2.11736E+07  -0.00276873  0             2.11736E+07  0.985032      2.11736E+07  -0.00276873   2.11736E+07  64.2225       2.11736E+07  4.05649       1.11537E+09  103.996       1            0.0167806    0.00145601    1            -3.23526E-06 -5.70026E-05  1            0.0236453    0.00225621    1            0.000686613  -0.000188026  1            0.0476385    0.00245119    1            0.0016674    -0.00010289   
   5.24057E+06  2.98954       3.25522E+07  0.999002     0             3.25522E+07  0            0             3.25522E+07  0.999002      3.25522E+07  0             3.25522E+07  0.998042     0             3.25522E+07  0            0             3.25522E+07  0.998042      3.25522E+07  0             3.25522E+07  0.979486     0             3.25522E+07  0            0             3.25522E+07  0.979486      3.25522E+07  0             3.25522E+07  100.312       3.25522E+07  3.98811       1.1264E+09   19.636        1.66667      0.023538     0.00187364    1.66667      1.58713E-05  -8.58205E-05  1.66667      0.0329693    0.00305053    1.66667      0.00069647   -0.000332547  1.66667      0.0645758    0.00319893    1.66667      0.00280554   -0.000159147  
   5.30979E+06  3.07239       4.33886E+07  0.999575     0             4.33886E+07  0            0             4.33886E+07  0.999575      4.33886E+07  0             4.33886E+07  0.990239     0             4.33886E+07  0            0             4.33886E+07  0.990239      4.33886E+07  0             4.33886E+07  0.975129     0             4.33886E+07  0            0             4.33886E+07  0.975129      4.33886E+07  0             4.33886E+07  134.134       4.33886E+07  4.00156       1.13729E+09  30.2376       2.33333      0.0297347    0.0023125     2.33333      0.000199474  -8.18325E-05  2.33333      0.0409222    0.0038503     2.33333      0.00131183   -0.000445334  2.33333      0.0807177    0.00386512    2.33333      0.00295415   -0.000144939  
   5.36245E+06  3.2746        5.44227E+07  0.999459     0             5.44227E+07  0            0             5.44227E+07  0.999459      5.44227E+07  0             5.44227E+07  0.986186     0             5.44227E+07  0            0             5.44227E+07  0.986186      5.44227E+07  0             5.44227E+07  0.97646      0             5.44227E+07  0            0             5.44227E+07  0.97646       5.44227E+07  0             5.44227E+07  169.012       5.44227E+07  4.09075       1.14873E+09  45.9907       3            0.0352965    0.00272031    3            0.000189872  -0.000101514  3            0.0483394    0.00461169    3            0.00178549   -0.000492835  3            0.0957151    0.00436637    3            0.00315217   -0.000141107  
   5.4025E+06   3.31928       6.54424E+07  1.00207      0             6.54424E+07  0            0             6.54424E+07  1.00207       6.54424E+07  0             6.54424E+07  0.983941     0             6.54424E+07  0.000958337  0             6.54424E+07  0.983941      6.54424E+07  0.000958337   6.54424E+07  0.983941     0             6.54424E+07  -0.000958337 0             6.54424E+07  0.983941      6.54424E+07  -0.000958337  6.54424E+07  203.515       6.54424E+07  3.93129       1.15946E+09  65.5996       3.66667      0.0416366    0.003152      3.66667      0.000398693  -9.82677E-05  3.66667      0.0563016    0.00528421    3.66667      0.0020067    -0.000475877  3.66667      0.109164     0.00478433    3.66667      0.00295793   -0.000173379  
   5.43489E+06  3.44197       7.65166E+07  0.999152     0             7.65166E+07  0            0             7.65166E+07  0.999152      7.65166E+07  0             7.65166E+07  0.99121      0             7.65166E+07  0            0             7.65166E+07  0.99121       7.65166E+07  0             7.65166E+07  0.989553     0             7.65166E+07  0            0             7.65166E+07  0.989553      7.65166E+07  0             7.65166E+07  238.114       7.65166E+07  3.87478       1.17015E+09  82.2224       4.33333      0.0476496    0.00347523    4.33333      0.000328349  -0.000122552  4.33333      0.064187     0.00588453    4.33333      0.00294739   -0.000480709  4.33333      0.120296     0.00526286    4.33333      0.00266934   -0.000173777  
   5.46157E+06  3.55593       8.75772E+07  0.99658      0             8.75772E+07  0            0             8.75772E+07  0.99658       8.75772E+07  0             8.75772E+07  0.983573     0             8.75772E+07  0.00355898   0             8.75772E+07  0.983573      8.75772E+07  0.00355898    8.75772E+07  0.983573     0             8.75772E+07  -0.00355898  0             8.75772E+07  0.983573      8.75772E+07  -0.00355898   8.75772E+07  273.233       8.75772E+07  3.92153       1.18121E+09  105.221       5            0.0531394    0.00383241    5            0.000376656  -0.000148449  5            0.0711686    0.00632233    5            0.00350651   -0.000446408  5            0.128411     0.00544937    5            0.00230981   -0.000191774  
   5.48433E+06  3.59844       9.82766E+07  0.999651     0             9.82766E+07  0            0             9.82766E+07  0.999651      9.82766E+07  0             9.82766E+07  0.983494     0             9.82766E+07  0.00303507   0             9.82766E+07  0.983494      9.82766E+07  0.00303507    9.82766E+07  0.983494     0             9.82766E+07  -0.00303507  0             9.82766E+07  0.983494      9.82766E+07  -0.00303507   9.82766E+07  307.125       9.82766E+07  4.04166       1.19171E+09  128.875       5.66667      0.0590684    0.00403991    5.66667      0.000565991  -0.00014365   5.66667      0.0778243    0.00672849    5.66667      0.00371783   -0.000511959  5.66667      0.135381     0.0055126     5.66667      0.00247726   -0.000214474  
   5.50353E+06  3.65053       1.09244E+08  1.00005      0             1.09244E+08  0            0             1.09244E+08  1.00005       1.09244E+08  0             1.09244E+08  0.990839     0             1.09244E+08  0            0             1.09244E+08  0.990839      1.09244E+08  0             1.09244E+08  0.97986      0             1.09244E+08  0            0             1.09244E+08  0.97986       1.09244E+08  0             1.09244E+08  342.102       1.09244E+08  4.1121        1.2027E+09   137.222       6.33333      0.0642958    0.0043502     6.33333      0.000605107  -0.000162277  6.33333      0.0843428    0.00700105    6.33333      0.00449774   -0.000487314  6.33333      0.140107     0.00563469    6.33333      0.00185769   -0.000231497  
