# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 5000000 --inactive 100 --source Histogram --Iterations\n 25 --active 114 --seed 0 --bins 75 --run --relaxed 7.5e-05 -f Relaxed/LessAggressive/50mfp/5E6/50mfp.r7.5e-05.dat ,\n seed = 3339024810
# Arguments: source = Histogram, Iterations = 25, eigenvalues = 3, relaxed = 7.5e-05, run = true, filename = Relaxed/LessAggressive/50mfp/5E6/50mfp.r7.5e-05.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 114, inactive = 100, tracks = 5000000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40           41            42           43           44            45           46           47            48           49           50            51           52           53            54           55           56           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-      FOM-Arnoldi     -| |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       RAM eigenvector-2-Real      -| |-       RAM eigenvector-2-Imag      -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   5E+06        3.17558       1.20037E+08  0.997509     0             1.20037E+08  0            0             1.20037E+08  0.997509      1.20037E+08  0             1.20037E+08  0.989303     0             1.20037E+08  0            0             1.20037E+08  0.989303      1.20037E+08  0             1.20037E+08  0.976923     0             1.20037E+08  0            0             1.20037E+08  0.976923      1.20037E+08  0             1.20037E+08  372.763       1.20037E+08  3.82583       1.18066E+10  0             0.333333     0.0101201    0.00011005    0.333333     0            0             0.333333     0.0198467    0.000103477   0.333333     0            0             0.333333     0.0297554    0.000102724   0.333333     0            0             
   1E+07        2.98576       2.41569E+08  0.997555     0             2.41569E+08  0            0             2.41569E+08  0.997555      2.41569E+08  0             2.41569E+08  0.989826     0             2.41569E+08  0            0             2.41569E+08  0.989826      2.41569E+08  0             2.41569E+08  0.977059     0             2.41569E+08  0            0             2.41569E+08  0.977059      2.41569E+08  0             2.41569E+08  749.597       2.41569E+08  4.08841       1.19254E+10  777.044       1            0.0170219    0.000176909   1            0            0             1            0.033389     0.0001733     1            0            0             1            0.0496492    0.000172402   1            0            0             
   1.5E+07      3.06677       3.54221E+08  0.997582     0             3.54221E+08  0            0             3.54221E+08  0.997582      3.54221E+08  0             3.54221E+08  0.989421     0             3.54221E+08  0            0             3.54221E+08  0.989421      3.54221E+08  0             3.54221E+08  0.977693     0             3.54221E+08  0            0             3.54221E+08  0.977693      3.54221E+08  0             3.54221E+08  1097.74       3.54221E+08  3.97264       1.20329E+10  1358.17       1.66667      0.0235854    0.000236501   1.66667      0            0             1.66667      0.0461768    0.000235504   1.66667      0            0             1.66667      0.0681558    0.000232702   1.66667      0            0             
   2E+07        3.12354       4.64004E+08  0.997625     0             4.64004E+08  0            0             4.64004E+08  0.997625      4.64004E+08  0             4.64004E+08  0.990156     0             4.64004E+08  0            0             4.64004E+08  0.990156      4.64004E+08  0             4.64004E+08  0.977051     0             4.64004E+08  0            0             4.64004E+08  0.977051      4.64004E+08  0             4.64004E+08  1440.28       4.64004E+08  4.06929       1.21466E+10  2305.48       2.33333      0.0301773    0.000291004   2.33333      0            0             2.33333      0.0586257    0.000295124   2.33333      0            0             2.33333      0.0854181    0.000280499   2.33333      0            0             
   2.5E+07      3.25952       5.83909E+08  0.996972     0             5.83909E+08  0            0             5.83909E+08  0.996972      5.83909E+08  0             5.83909E+08  0.989616     0             5.83909E+08  0            0             5.83909E+08  0.989616      5.83909E+08  0             5.83909E+08  0.977274     0             5.83909E+08  0            0             5.83909E+08  0.977274      5.83909E+08  0             5.83909E+08  1816.66       5.83909E+08  4.18062       1.22673E+10  2502.84       3            0.0366755    0.000339933   3            0            0             3            0.070612     0.000353142   3            0            0             3            0.101453     0.000324282   3            0            0             
   3E+07        3.28564       6.99606E+08  0.997859     0             6.99606E+08  0            0             6.99606E+08  0.997859      6.99606E+08  0             6.99606E+08  0.989792     0             6.99606E+08  0            0             6.99606E+08  0.989792      6.99606E+08  0             6.99606E+08  0.97741      0             6.99606E+08  0            0             6.99606E+08  0.97741       6.99606E+08  0             6.99606E+08  2178.12       6.99606E+08  4.04689       1.23792E+10  3303.18       3.66667      0.0430373    0.000387077   3.66667      0            0             3.66667      0.0821115    0.000402326   3.66667      0            0             3.66667      0.115866     0.0003567     3.66667      0            0             
   3.5E+07      3.413         8.11956E+08  0.997727     0             8.11956E+08  0            0             8.11956E+08  0.997727      8.11956E+08  0             8.11956E+08  0.989335     0             8.11956E+08  0            0             8.11956E+08  0.989335      8.11956E+08  0             8.11956E+08  0.977701     0             8.11956E+08  0            0             8.11956E+08  0.977701      8.11956E+08  0             8.11956E+08  2530.47       8.11956E+08  4.01287       1.24942E+10  2947.24       4.33333      0.049459     0.000435635   4.33333      0            0             4.33333      0.0930686    0.000444691   4.33333      0            0             4.33333      0.128639     0.000389221   4.33333      0            0             
   4E+07        3.4206        9.30738E+08  0.997146     0             9.30738E+08  0            0             9.30738E+08  0.997146      9.30738E+08  0             9.30738E+08  0.989774     0             9.30738E+08  0            0             9.30738E+08  0.989774      9.30738E+08  0             9.30738E+08  0.977215     0             9.30738E+08  0            0             9.30738E+08  0.977215      9.30738E+08  0             9.30738E+08  2900.31       9.30738E+08  4.02665       1.26109E+10  3186.57       5            0.0557333    0.000479988   5            0            0             5            0.103365     0.000477646   5            0            0             5            0.139388     0.000410264   5            0            0             
   4.5E+07      3.52173       1.04615E+09  0.997623     0             1.04615E+09  0            0             1.04615E+09  0.997623      1.04615E+09  0             1.04615E+09  0.989162     0             1.04615E+09  0            0             1.04615E+09  0.989162      1.04615E+09  0             1.04615E+09  0.977006     0             1.04615E+09  0            0             1.04615E+09  0.977006      1.04615E+09  0             1.04615E+09  3261.85       1.04615E+09  4.01326       1.27273E+10  3626.61       5.66667      0.0618895    0.000522423   5.66667      0            0             5.66667      0.113154     0.000502897   5.66667      0            0             5.66667      0.148096     0.000425877   5.66667      0            0             
   5E+07        3.55309       1.16867E+09  0.997624     0             1.16867E+09  0            0             1.16867E+09  0.997624      1.16867E+09  0             1.16867E+09  0.990229     0             1.16867E+09  0            0             1.16867E+09  0.990229      1.16867E+09  0             1.16867E+09  0.977029     0             1.16867E+09  0            0             1.16867E+09  0.977029      1.16867E+09  0             1.16867E+09  3644.22       1.16867E+09  4.18343       1.284E+10    4327.49       6.33333      0.0679348    0.000561673   6.33333      0            0             6.33333      0.12205      0.000526092   6.33333      0            0             6.33333      0.154501     0.000428165   6.33333      0            0             
