# This file was created by gnuFile.py version  $Revision: 569 $ on Thu Jun 11 15:36:21 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.engin.umich.edu$ GetData.py
# 
# =============================================================================
# 
#   1            2            3             4            5            6             7            8            9              10           11            12           13           14            15           16           17            18           19           20          
# |-              Bias0                -| |-              Bias1                -| |-              Bias2                -| |-         FOM          -||-           Eigenvalue-0            -| |-           Eigenvalue-1            -| |-           Eigenvalue-2            -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error        
   2            0.027482     0.00066253    2            0.099171     0.00064142    2            0.18536      0.00054351    2            831.25        2            4.8003       0.00066253    2            4.2839       0.00064142    2            3.6321       0.00054351   
   0.8          0.005332     0.00067617    0.8          0.017931     0.00064891    0.8          0.034909     0.00062248    0.8          773.19        0.8          4.8224       0.00067617    0.8          4.3652       0.00064891    0.8          3.7826       0.00062248   
   0.5          0.002642     0.0006315     0.5          0.007701     0.00061368    0.5          0.014279     0.00059349    0.5          872.02        0.5          4.8251       0.0006315     0.5          4.3754       0.00061368    0.5          3.8032       0.00059349   
   0.4          0.000422     0.00064601    0.4          0.003691     0.00057566    0.4          0.008329     0.00057766    0.4          829.04        0.4          4.8273       0.00064601    0.4          4.3794       0.00057566    0.4          3.8091       0.00057766   
   0.33333      0.001992     0.00069493    0.33333      0.003541     0.00062917    0.33333      0.006699     0.00058607    0.33333      704.29        0.33333      4.8258       0.00069493    0.33333      4.3796       0.00062917    0.33333      3.8108       0.00058607   
   0.26667      0.000242     0.00067108    0.26667      0.002451     0.00063884    0.26667      0.004719     0.00061235    0.26667      753.02        0.26667      4.8275       0.00067108    0.26667      4.3807       0.00063884    0.26667      3.8127       0.00061235   
   0.22222      4.2E-05      0.00067169    0.22222      0.001211     0.00063119    0.22222      0.002329     0.00054349    0.22222      746.13        0.22222      4.8277       0.00067169    0.22222      4.3819       0.00063119    0.22222      3.8151       0.00054349   
   0.19048      5.2E-05      0.00069269    0.19048      0.002571     0.00063067    0.19048      0.002709     0.00057274    0.19048      698.25        0.19048      4.8277       0.00069269    0.19048      4.3805       0.00063067    0.19048      3.8148       0.00057274   
   0.16667      0.000408     0.00065336    0.16667      0.001161     0.00060501    0.16667      0.000349     0.00057596    0.16667      767.78        0.16667      4.8282       0.00065336    0.16667      4.3819       0.00060501    0.16667      3.8171       0.00057596   
   0.14815      0.000312     0.00070381    0.14815      0.002071     0.00062602    0.14815      0.000819     0.00055876    0.14815      656.93        0.14815      4.8274       0.00070381    0.14815      4.381        0.00062602    0.14815      3.8167       0.00055876   
   0.13333      0.000748     0.00064242    0.13333      0.000391     0.00063426    0.13333      0.000749     0.00061297    0.13333      792           0.13333      4.8285       0.00064242    0.13333      4.3827       0.00063426    0.13333      3.8167       0.00061297   
