# This file was created by gnuFile.py version  $Revision: 569 $ on Mon Jun  1 16:33:31 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.engin.umich.edu$ Misc/procOUTSN.py OUTSN-w0.2.dat
# 
# =============================================================================
# 
#    1            2              3            4              5            6              7            8           
# |-        Flux2         -||-        Flux3         -||-        Flux1         -||-    FissionSource     -|
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      
   0.001        0             0.001        0             0.001        0.82056       0.001        0.016592     
   0.003        0             0.003        0             0.003        0.83189       0.003        0.016821     
   0.005        0             0.005        0             0.005        0.84293       0.005        0.017044     
   0.007        0             0.007        0             0.007        0.8537        0.007        0.017262     
   0.009        0             0.009        0             0.009        0.86419       0.009        0.017474     
   0.011        0             0.011        0             0.011        0.87441       0.011        0.017681     
   0.013        0             0.013        0             0.013        0.88436       0.013        0.017882     
   0.015        0             0.015        0             0.015        0.89405       0.015        0.018078     
   0.017        0             0.017        0             0.017        0.90348       0.017        0.018269     
   0.019        0             0.019        0             0.019        0.91266       0.019        0.018454     
   0.021        0             0.021        0             0.021        0.92157       0.021        0.018634     
   0.023        0             0.023        0             0.023        0.93024       0.023        0.01881      
   0.025        0             0.025        0             0.025        0.93865       0.025        0.01898      
   0.027        0             0.027        0             0.027        0.94682       0.027        0.019145     
   0.029        0             0.029        0             0.029        0.95474       0.029        0.019305     
   0.031        0             0.031        0             0.031        0.96242       0.031        0.01946      
   0.033        0             0.033        0             0.033        0.96985       0.033        0.019611     
   0.035        0             0.035        0             0.035        0.97705       0.035        0.019756     
   0.037        0             0.037        0             0.037        0.98401       0.037        0.019897     
   0.039        0             0.039        0             0.039        0.99074       0.039        0.020033     
   0.041        0             0.041        0             0.041        0.99724       0.041        0.020164     
   0.043        0             0.043        0             0.043        1.0035        0.043        0.020291     
   0.045        0             0.045        0             0.045        1.0095        0.045        0.020413     
   0.047        0             0.047        0             0.047        1.0153        0.047        0.02053      
   0.049        0             0.049        0             0.049        1.0209        0.049        0.020643     
   0.051        0             0.051        0             0.051        1.0263        0.051        0.020751     
