# This file was created by gnuFile.py version  $Revision: 569 $ on Mon Jun  1 16:31:40 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.engin.umich.edu$ Misc/procOUTSN.py OUTSN-w2.dat
# 
# =============================================================================
# 
#    1            2              3            4              5            6              7            8           
# |-        Flux2         -||-        Flux3         -||-        Flux1         -||-    FissionSource     -|
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      
   0.01         0             0.01         0             0.01         0.54853       0.01         0.011106     
   0.03         0             0.03         0             0.03         0.58376       0.03         0.011819     
   0.05         0             0.05         0             0.05         0.61553       0.05         0.012463     
   0.07         0             0.07         0             0.07         0.64473       0.07         0.013054     
   0.09         0             0.09         0             0.09         0.67201       0.09         0.013606     
   0.11         0             0.11         0             0.11         0.69777       0.11         0.014128     
   0.13         0             0.13         0             0.13         0.72231       0.13         0.014625     
   0.15         0             0.15         0             0.15         0.74585       0.15         0.015101     
   0.17         0             0.17         0             0.17         0.76851       0.17         0.01556      
   0.19         0             0.19         0             0.19         0.79041       0.19         0.016003     
   0.21         0             0.21         0             0.21         0.8116        0.21         0.016433     
   0.23         0             0.23         0             0.23         0.83215       0.23         0.016849     
   0.25         0             0.25         0             0.25         0.85209       0.25         0.017252     
   0.27         0             0.27         0             0.27         0.87145       0.27         0.017644     
   0.29         0             0.29         0             0.29         0.89025       0.29         0.018025     
   0.31         0             0.31         0             0.31         0.90849       0.31         0.018394     
   0.33         0             0.33         0             0.33         0.9262        0.33         0.018753     
   0.35         0             0.35         0             0.35         0.94338       0.35         0.019101     
   0.37         0             0.37         0             0.37         0.96003       0.37         0.019438     
   0.39         0             0.39         0             0.39         0.97617       0.39         0.019765     
   0.41         0             0.41         0             0.41         0.99179       0.41         0.020081     
   0.43         0             0.43         0             0.43         1.0069        0.43         0.020387     
   0.45         0             0.45         0             0.45         1.0215        0.45         0.020682     
   0.47         0             0.47         0             0.47         1.0356        0.47         0.020968     
   0.49         0             0.49         0             0.49         1.0492        0.49         0.021242     
   0.51         0             0.51         0             0.51         1.0622        0.51         0.021507     
   0.53         0             0.53         0             0.53         1.0748        0.53         0.021761     
   0.55         0             0.55         0             0.55         1.0868        0.55         0.022005     
   0.57         0             0.57         0             0.57         1.0984        0.57         0.022239     
   0.59         0             0.59         0             0.59         1.1094        0.59         0.022462     
   0.61         0             0.61         0             0.61         1.1199        0.61         0.022675     
   0.63         0             0.63         0             0.63         1.1299        0.63         0.022877     
   0.65         0             0.65         0             0.65         1.1394        0.65         0.023069     
   0.67         0             0.67         0             0.67         1.1483        0.67         0.02325      
   0.69         0             0.69         0             0.69         1.1568        0.69         0.023421     
   0.71         0             0.71         0             0.71         1.1647        0.71         0.023581     
   0.73         0             0.73         0             0.73         1.1721        0.73         0.023731     
   0.75         0             0.75         0             0.75         1.179         0.75         0.023871     
   0.77         0             0.77         0             0.77         1.1853        0.77         0.023999     
   0.79         0             0.79         0             0.79         1.1911        0.79         0.024117     
   0.81         0             0.81         0             0.81         1.1964        0.81         0.024225     
   0.83         0             0.83         0             0.83         1.2012        0.83         0.024321     
   0.85         0             0.85         0             0.85         1.2055        0.85         0.024407     
   0.87         0             0.87         0             0.87         1.2092        0.87         0.024483     
   0.89         0             0.89         0             0.89         1.2124        0.89         0.024547     
   0.91         0             0.91         0             0.91         1.215         0.91         0.024601     
   0.93         0             0.93         0             0.93         1.2172        0.93         0.024644     
   0.95         0             0.95         0             0.95         1.2188        0.95         0.024676     
   0.97         0             0.97         0             0.97         1.2198        0.97         0.024698     
   0.99         0             0.99         0             0.99         1.2204        0.99         0.024709     
   1.03         0             1.03         0             1.03         1.2198        1.03         0.024698     
   1.05         0             1.05         0             1.05         1.2188        1.05         0.024676     
   1.07         0             1.07         0             1.07         1.2172        1.07         0.024644     
   1.09         0             1.09         0             1.09         1.215         1.09         0.024601     
   1.11         0             1.11         0             1.11         1.2124        1.11         0.024547     
   1.13         0             1.13         0             1.13         1.2092        1.13         0.024483     
   1.15         0             1.15         0             1.15         1.2055        1.15         0.024407     
   1.17         0             1.17         0             1.17         1.2012        1.17         0.024321     
   1.19         0             1.19         0             1.19         1.1964        1.19         0.024225     
   1.21         0             1.21         0             1.21         1.1911        1.21         0.024117     
   1.23         0             1.23         0             1.23         1.1853        1.23         0.023999     
   1.25         0             1.25         0             1.25         1.179         1.25         0.023871     
   1.27         0             1.27         0             1.27         1.1721        1.27         0.023731     
   1.29         0             1.29         0             1.29         1.1647        1.29         0.023581     
   1.31         0             1.31         0             1.31         1.1568        1.31         0.023421     
   1.33         0             1.33         0             1.33         1.1483        1.33         0.02325      
   1.35         0             1.35         0             1.35         1.1394        1.35         0.023069     
   1.37         0             1.37         0             1.37         1.1299        1.37         0.022877     
   1.39         0             1.39         0             1.39         1.1199        1.39         0.022675     
   1.41         0             1.41         0             1.41         1.1094        1.41         0.022462     
   1.43         0             1.43         0             1.43         1.0984        1.43         0.022239     
   1.45         0             1.45         0             1.45         1.0868        1.45         0.022005     
   1.47         0             1.47         0             1.47         1.0748        1.47         0.021761     
   1.49         0             1.49         0             1.49         1.0622        1.49         0.021507     
   1.51         0             1.51         0             1.51         1.0492        1.51         0.021242     
   1.53         0             1.53         0             1.53         1.0356        1.53         0.020968     
   1.55         0             1.55         0             1.55         1.0215        1.55         0.020682     
   1.57         0             1.57         0             1.57         1.0069        1.57         0.020387     
   1.59         0             1.59         0             1.59         0.99179       1.59         0.020081     
   1.61         0             1.61         0             1.61         0.97617       1.61         0.019765     
   1.63         0             1.63         0             1.63         0.96003       1.63         0.019438     
   1.65         0             1.65         0             1.65         0.94338       1.65         0.019101     
   1.67         0             1.67         0             1.67         0.9262        1.67         0.018753     
   1.69         0             1.69         0             1.69         0.90849       1.69         0.018394     
   1.71         0             1.71         0             1.71         0.89025       1.71         0.018025     
   1.73         0             1.73         0             1.73         0.87145       1.73         0.017644     
   1.75         0             1.75         0             1.75         0.85209       1.75         0.017252     
   1.77         0             1.77         0             1.77         0.83215       1.77         0.016849     
   1.79         0             1.79         0             1.79         0.8116        1.79         0.016433     
   1.81         0             1.81         0             1.81         0.79041       1.81         0.016003     
   1.83         0             1.83         0             1.83         0.76851       1.83         0.01556      
