# This file was created by gnuFile.py version  $Revision: 569 $ on Mon Jun  1 15:15:17 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.engin.umich.edu$ Misc/procOUTSN.py
# 
# =============================================================================
# 
#    1            2              3            4              5            6              7            8           
# |-        Flux2         -||-        Flux3         -||-        Flux1         -||-    FissionSource     -|
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      
   0.1          0             0.1          0             0.1          0.15444       0.1          0.0031351    
   0.3          0             0.3          0             0.3          0.20752       0.3          0.0042126    
   0.5          0             0.5          0             0.5          0.25317       0.5          0.0051392    
   0.7          0             0.7          0             0.7          0.29808       0.7          0.0060509    
   0.9          0             0.9          0             0.9          0.34159       0.9          0.0069342    
   1.1          0             1.1          0             1.1          0.38447       1.1          0.0078047    
   1.3          0             1.3          0             1.3          0.42671       1.3          0.0086621    
   1.5          0             1.5          0             1.5          0.46841       1.5          0.0095085    
   1.7          0             1.7          0             1.7          0.50958       1.7          0.010344     
   1.9          0             1.9          0             1.9          0.55023       1.9          0.011169     
   2.1          0             2.1          0             2.1          0.59035       2.1          0.011984     
   2.3          0             2.3          0             2.3          0.62992       2.3          0.012787     
   2.5          0             2.5          0             2.5          0.66891       2.5          0.013579     
   2.7          0             2.7          0             2.7          0.70731       2.7          0.014358     
   2.9          0             2.9          0             2.9          0.74509       2.9          0.015125     
   3.1          0             3.1          0             3.1          0.78221       3.1          0.015879     
   3.3          0             3.3          0             3.3          0.81864       3.3          0.016618     
   3.5          0             3.5          0             3.5          0.85437       3.5          0.017343     
   3.7          0             3.7          0             3.7          0.88936       3.7          0.018054     
   3.9          0             3.9          0             3.9          0.92357       3.9          0.018748     
   4.1          0             4.1          0             4.1          0.95699       4.1          0.019427     
   4.3          0             4.3          0             4.3          0.98958       4.3          0.020088     
   4.5          0             4.5          0             4.5          1.0213        4.5          0.020733     
