# This file was created by gnuFile.py version  $Revision: 632 $ on Tue Jul 28 01:19:21 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# 193-97.adsl.umnet.umich.edu$ ProcessVectors.py 2
# This data was taken from the files: ArnoldiBasic-w2.dat, PowerBasic-w2.dat, OUTSN-w2.dat
# =============================================================================
# 
#  1            2             3            4             5            6             7            8             9            10           
# |-          SN          -| |-      Arnoldi-2       -| |-      Arnoldi-1       -| |-      Arnoldi-0       -| |-        Power         -| 
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   0.01         0.44947       0.013333     0.73936       0.013333     -0.64308      0.013333     0.45562       0.013333     0.4568       
   0.03         0.47833       0.04         0.81949       0.04         -0.70833      0.04         0.49205       0.04         0.49415      
   0.05         0.50439       0.066667     0.88729       0.066667     -0.75663      0.066667     0.52322       0.066667     0.52525      
   0.07         0.52831       0.093333     0.92954       0.093333     -0.80774      0.093333     0.55508       0.093333     0.55355      
   0.09         0.55065       0.12         0.96519       0.12         -0.84706      0.12         0.58065       0.12         0.58133      
   0.11         0.57178       0.14667      0.99352       0.14667      -0.88881      0.14667      0.60609       0.14667      0.60726      
   0.13         0.59189       0.17333      1             0.17333      -0.91065      0.17333      0.6307        0.17333      0.63405      
   0.15         0.61115       0.2          0.99921       0.2          -0.9364       0.2          0.65499       0.2          0.65724      
   0.17         0.62973       0.22667      0.98576       0.22667      -0.95925      0.22667      0.67685       0.22667      0.6791       
   0.19         0.64766       0.25333      0.94685       0.25333      -0.97328      0.25333      0.70063       0.25333      0.70142      
   0.21         0.66506       0.28         0.91027       0.28         -0.98278      0.28         0.72169       0.28         0.72275      
   0.23         0.6819        0.30667      0.88112       0.30667      -0.98881      0.30667      0.74007       0.30667      0.74102      
   0.25         0.69821       0.33333      0.81539       0.33333      -0.99315      0.33333      0.75939       0.33333      0.762        
   0.27         0.71407       0.36         0.75472       0.36         -0.9905       0.36         0.77806       0.36         0.77997      
   0.29         0.72949       0.38667      0.67805       0.38667      -0.9822       0.38667      0.79647       0.38667      0.79812      
   0.31         0.74443       0.41333      0.61942       0.41333      -0.97561      0.41333      0.81175       0.41333      0.81456      
   0.33         0.75895       0.44         0.52171       0.44         -0.96381      0.44         0.83203       0.44         0.83265      
   0.35         0.77304       0.46667      0.42879       0.46667      -0.95445      0.46667      0.84775       0.46667      0.84736      
   0.37         0.78668       0.49333      0.33793       0.49333      -0.92278      0.49333      0.85874       0.49333      0.86225      
   0.39         0.79991       0.52         0.22137       0.52         -0.90092      0.52         0.87593       0.52         0.87644      
   0.41         0.8127        0.54667      0.13083       0.54667      -0.86743      0.54667      0.88876       0.54667      0.88824      
   0.43         0.82508       0.57333      0.022371      0.57333      -0.83769      0.57333      0.89892       0.57333      0.90218      
   0.45         0.83702       0.6          -0.088617     0.6          -0.81109      0.6          0.91262       0.6          0.91342      
   0.47         0.8486        0.62667      -0.18275      0.62667      -0.76828      0.62667      0.91961       0.62667      0.92461      
   0.49         0.85969       0.65333      -0.28549      0.65333      -0.73021      0.65333      0.93337       0.65333      0.93435      
   0.51         0.87041       0.68         -0.38148      0.68         -0.68657      0.68         0.94267       0.68         0.94647      
   0.53         0.88069       0.70667      -0.47655      0.70667      -0.6318       0.70667      0.95065       0.70667      0.9534       
   0.55         0.89057       0.73333      -0.57656      0.73333      -0.59347      0.73333      0.9625        0.73333      0.96193      
   0.57         0.90004       0.76         -0.65486      0.76         -0.53528      0.76         0.96595       0.76         0.96803      
   0.59         0.90906       0.78667      -0.74405      0.78667      -0.47776      0.78667      0.97299       0.78667      0.97578      
   0.61         0.91768       0.81333      -0.8166       0.81333      -0.43387      0.81333      0.97966       0.81333      0.98245      
   0.63         0.92586       0.84         -0.8769       0.84         -0.36703      0.84         0.98322       0.84         0.98776      
   0.65         0.93363       0.86667      -0.93406      0.86667      -0.30846      0.86667      0.98976       0.86667      0.99161      
   0.67         0.94095       0.89333      -0.98487      0.89333      -0.24166      0.89333      0.98983       0.89333      0.9959       
   0.69         0.94787       0.92         -1.0266       0.92         -0.19404      0.92         0.9953        0.92         0.99845      
   0.71         0.95435       0.94667      -1.0483       0.94667      -0.12547      0.94667      0.99769       0.94667      0.99857      
   0.73         0.96042       0.97333      -1.0587       0.97333      -0.065848     0.97333      0.99814       0.97333      0.99975      
   0.75         0.96609       1            -1.0757       1            0.0025886     1            1             1            1            
   0.77         0.97127       1.0267       -1.07         1.0267       0.06364       1.0267       0.99838       1.0267       0.99942      
   0.79         0.97604       1.0533       -1.0398       1.0533       0.12838       1.0533       0.99843       1.0533       0.99898      
   0.81         0.98041       1.08         -1.0188       1.08         0.18701       1.08         0.99489       1.08         0.99705      
   0.83         0.9843        1.1067       -0.97843      1.1067       0.24961       1.1067       0.99139       1.1067       0.99493      
   0.85         0.98778       1.1333       -0.93437      1.1333       0.30995       1.1333       0.98979       1.1333       0.99128      
