# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./Research/ArnoldiResearch -w 50 -c Linear -f 50mfp.Arnoldi.dat -t 500000 -i 100 -a 100 -I 25 -b 75 -n 3 --run , seed = 984184059
# Arguments: source = Linear, Iterations = 25, eigenvalues = 3, relaxed = 0, run = true, filename = 50mfp.Arnoldi.dat, multimedia = false, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 100, inactive = 100, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44           
# |-  Entropy-Iterations  -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-   Entropy-Restarts   -| |-   RAM eigenvector-0  -| |-   RAM eigenvector-1  -| |-   RAM eigenvector-2  -| |-      FOM-Arnoldi     -| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   500000       4.04305       1.25E+07     0.997524     0             1.25E+07     0            0             1.25E+07     0.997524      1.25E+07     0             1.25E+07     0.977582     0             1.25E+07     0            0             1.25E+07     0.977582      1.25E+07     0             1.25E+07     0.944267     0             1.25E+07     0            0             1.25E+07     0.944267      1.25E+07     0             1.25E+07     41.6497       1.25E+07     4.04533       0            -0.00243464   0            0.00283693    0            0.00305567    1.2625E+09   0             
   1E+06        4.08574       2.5E+07      0.997637     0             2.5E+07      0            0             2.5E+07      0.997637      2.5E+07      0             2.5E+07      0.976783     0             2.5E+07      0            0             2.5E+07      0.976783      2.5E+07      0             2.5E+07      0.9616       0             2.5E+07      0            0             2.5E+07      0.9616        2.5E+07      0             2.5E+07      82.8604       2.5E+07      3.99719       0.666667     -0.00549784   0.666667     0.00628301    0.666667     0.00679324    1.275E+09    6.2325E+06    
   1.5E+06      4.10546       3.75E+07     0.997823     0             3.75E+07     0            0             3.75E+07     0.997823      3.75E+07     0             3.75E+07     0.992123     0             3.75E+07     0            0             3.75E+07     0.992123      3.75E+07     0             3.75E+07     0.978515     0             3.75E+07     0            0             3.75E+07     0.978515      3.75E+07     0             3.75E+07     123.932       3.75E+07     4.14233       0.666667     -0.00542989   0.666667     0.00623413    0.666667     0.00671424    1.2875E+09   10958.1       
   2E+06        4.14963       5E+07        0.997779     0             5E+07        0            0             5E+07        0.997779      5E+07        0             5E+07        0.991196     0             5E+07        0            0             5E+07        0.991196      5E+07        0             5E+07        0.976046     0             5E+07        0            0             5E+07        0.976046      5E+07        0             5E+07        164.841       5E+07        4.12196       1.33333      -0.0082017    1.33333      0.00938216    1.33333      0.00995649    1.3E+09      13883.7       
   2.5E+06      4.18451       6.25E+07     0.996488     0             6.25E+07     0            0             6.25E+07     0.996488      6.25E+07     0             6.25E+07     0.99034      0             6.25E+07     0            0             6.25E+07     0.99034       6.25E+07     0             6.25E+07     0.976978     0             6.25E+07     0            0             6.25E+07     0.976978      6.25E+07     0             6.25E+07     206.047       6.25E+07     4.07235       1.33333      -0.00821836   1.33333      0.00931132    1.33333      0.00994977    1.3125E+09   6926.76       
   3E+06        4.24628       7.5E+07      0.996716     0             7.5E+07      0            0             7.5E+07      0.996716      7.5E+07      0             7.5E+07      0.991356     0             7.5E+07      0            0             7.5E+07      0.991356      7.5E+07      0             7.5E+07      0.978354     0             7.5E+07      0            0             7.5E+07      0.978354      7.5E+07      0             7.5E+07      247.107       7.5E+07      4.11095       2            -0.0108064    2            0.0123534     2            0.0129635     1.325E+09    9006.29       
   3.5E+06      4.27112       8.75E+07     0.997813     0             8.75E+07     0            0             8.75E+07     0.997813      8.75E+07     0             8.75E+07     0.991542     0             8.75E+07     0            0             8.75E+07     0.991542      8.75E+07     0             8.75E+07     0.973828     0             8.75E+07     0            0             8.75E+07     0.973828      8.75E+07     0             8.75E+07     288.597       8.75E+07     4.13886       2            -0.0108075    2            0.0123915     2            0.0129403     1.3375E+09   11956.3       
   4E+06        4.30327       1E+08        0.997406     0             1E+08        0            0             1E+08        0.997406      1E+08        0             1E+08        0.991622     0             1E+08        0            0             1E+08        0.991622      1E+08        0             1E+08        0.981324     0             1E+08        0            0             1E+08        0.981324      1E+08        0             1E+08        329.898       1E+08        4.13334       2.66667      -0.0134974    2.66667      0.015169      2.66667      0.0157658     1.35E+09     15327.5       
   4.5E+06      4.30954       1.125E+08    0.993971     0             1.125E+08    0            0             1.125E+08    0.993971      1.125E+08    0             1.125E+08    0.989398     0             1.125E+08    0            0             1.125E+08    0.989398      1.125E+08    0             1.125E+08    0.979055     0             1.125E+08    0            0             1.125E+08    0.979055      1.125E+08    0             1.125E+08    371.034       1.125E+08    4.13918       2.66667      -0.0134546    2.66667      0.015232      2.66667      0.0157797     1.3625E+09   13726.7       
   5E+06        4.23931       1.25E+08     0.997887     0             1.25E+08     0            0             1.25E+08     0.997887      1.25E+08     0             1.25E+08     0.988587     0             1.25E+08     0            0             1.25E+08     0.988587      1.25E+08     0             1.25E+08     0.980643     0             1.25E+08     0            0             1.25E+08     0.980643      1.25E+08     0             1.25E+08     412.305       1.25E+08     3.9541        3.33333      -0.0159636    3.33333      0.0180753     3.33333      0.0182593     1.375E+09    16111.6       
