# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./Research/PowerResearch --verbose 2 --width 20 --multimedia --inactive 1250 --active 1250 --seed 0 --bins 300 --run --tracks\n 1000000 -f Asymmetric.Power.dat , seed = 520985258
# Arguments: source = Bank, run = true, filename = Asymmetric.Power.dat, multimedia = true, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 300, active = 1250, inactive = 1250, tracks = 1000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5             6            7             8            9             10           11            12           13           
# |-            Power values           -| |-   Power raw values   -| |-        Entropy       -| |-      Power-Time      -| |-       FOM-Power      -| |-     Power vector     -| 
#  x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1E+06        0.286217     0             1E+06        0.286217      1E+06        3.40184       1E+06        1.90479       1.251E+09    0             0.0150167    0.00319516    
   2E+06        0.399587     0             2E+06        0.399587      2E+06        3.51083       2E+06        4.48726       1.252E+09    2011.29       0.04505      0.00349012    
   3E+06        0.419162     0             3E+06        0.419162      3E+06        3.51301       3E+06        7.52258       1.253E+09    4113.2        0.0750833    0.00374752    
   4E+06        0.423331     0             4E+06        0.423331      4E+06        3.51233       4E+06        10.2155       1.254E+09    7275.58       0.105117     0.00398138    
   5E+06        0.424184     0             5E+06        0.424184      5E+06        3.51366       5E+06        12.9925       1.255E+09    10254.7       0.13515      0.0041905     
   6E+06        0.423829     0             6E+06        0.423829      6E+06        3.51539       6E+06        15.6744       1.256E+09    11617.6       0.165183     0.00439332    
   7E+06        0.422777     0             7E+06        0.422777      7E+06        3.5173        7E+06        18.3315       1.257E+09    14088.8       0.195217     0.00457174    
   8E+06        0.42569      0             8E+06        0.42569       8E+06        3.51855       8E+06        21.0082       1.258E+09    15089.4       0.22525      0.00472772    
   9E+06        0.423768     0             9E+06        0.423768      9E+06        3.52052       9E+06        23.6788       1.259E+09    18724.3       0.255283     0.00487916    
   1E+07        0.42457      0             1E+07        0.42457       1E+07        3.52201       1E+07        26.344        1.26E+09     22358.2       0.285317     0.00500785    
   1.1E+07      0.424462     0             1.1E+07      0.424462      1.1E+07      3.52386       1.1E+07      29.0355       1.261E+09    26217.3       0.31535      0.005138      
   1.2E+07      0.424972     0             1.2E+07      0.424972      1.2E+07      3.5263        1.2E+07      31.7283       1.262E+09    28577.8       0.345383     0.00524998    
   1.3E+07      0.424782     0             1.3E+07      0.424782      1.3E+07      3.52701       1.3E+07      34.4206       1.263E+09    33407.8       0.375417     0.00535273    
   1.4E+07      0.424484     0             1.4E+07      0.424484      1.4E+07      3.52697       1.4E+07      37.117        1.264E+09    38554.6       0.40545      0.00543479    
   1.5E+07      0.424602     0             1.5E+07      0.424602      1.5E+07      3.52889       1.5E+07      39.8084       1.265E+09    42936.7       0.435483     0.00550304    
   1.6E+07      0.425002     0             1.6E+07      0.425002      1.6E+07      3.5304        1.6E+07      42.4793       1.266E+09    45365.4       0.465517     0.00556568    
   1.7E+07      0.424813     0             1.7E+07      0.424813      1.7E+07      3.53184       1.7E+07      45.1487       1.267E+09    43317.5       0.49555      0.00561451    
   1.8E+07      0.42471      0             1.8E+07      0.42471       1.8E+07      3.53249       1.8E+07      47.8249       1.268E+09    47868.9       0.525583     0.0056455     
   1.9E+07      0.423701     0             1.9E+07      0.423701      1.9E+07      3.53384       1.9E+07      50.5213       1.269E+09    49544         0.555617     0.0056586     
   2E+07        0.424305     0             2E+07        0.424305      2E+07        3.53558       2E+07        53.219        1.27E+09     34915.1       0.58565      0.00567768    
   2.1E+07      0.42462      0             2.1E+07      0.42462       2.1E+07      3.53754       2.1E+07      55.9236       1.271E+09    38460.7       0.615683     0.00566914    
   2.2E+07      0.424925     0             2.2E+07      0.424925      2.2E+07      3.53717       2.2E+07      58.6172       1.272E+09    39788.8       0.645717     0.00564738    
   2.3E+07      0.424884     0             2.3E+07      0.424884      2.3E+07      3.53944       2.3E+07      61.2925       1.273E+09    31719.8       0.67575      0.00562532    
   2.4E+07      0.42462      0             2.4E+07      0.42462       2.4E+07      3.54018       2.4E+07      63.9674       1.274E+09    33751.1       0.705783     0.0055772     
   2.5E+07      0.424427     0             2.5E+07      0.424427      2.5E+07      3.54239       2.5E+07      66.6376       1.275E+09    36087.3       0.735817     0.00552782    
   2.6E+07      0.4238       0             2.6E+07      0.4238        2.6E+07      3.54408       2.6E+07      69.3129       1.276E+09    36618.3       0.76585      0.00545667    
   2.7E+07      0.4242       0             2.7E+07      0.4242        2.7E+07      3.54568       2.7E+07      71.9872       1.277E+09    39327.9       0.795883     0.00537598    
   2.8E+07      0.424944     0             2.8E+07      0.424944      2.8E+07      3.54823       2.8E+07      74.6612       1.278E+09    41798.4       0.825917     0.00526978    
   2.9E+07      0.423165     0             2.9E+07      0.423165      2.9E+07      3.54981       2.9E+07      77.3388       1.279E+09    42473.4       0.85595      0.00516127    
   3E+07        0.423454     0             3E+07        0.423454      3E+07        3.5514        3E+07        80.0037       1.28E+09     43109.7       0.885983     0.00503325    
   3.1E+07      0.424303     0             3.1E+07      0.424303      3.1E+07      3.5517        3.1E+07      82.6755       1.281E+09    35452.1       0.916017     0.00486947    
   3.2E+07      0.424621     0             3.2E+07      0.424621      3.2E+07      3.55211       3.2E+07      85.3447       1.282E+09    37254.6       0.94605      0.0047002     
   3.3E+07      0.424675     0             3.3E+07      0.424675      3.3E+07      3.55264       3.3E+07      88.0224       1.283E+09    37856.8       0.976083     0.00450093    
   3.4E+07      0.424695     0             3.4E+07      0.424695      3.4E+07      3.554         3.4E+07      90.687        1.284E+09    36820.9       1.00612      0.00129       
   3.5E+07      0.423615     0             3.5E+07      0.423615      3.5E+07      3.55554       3.5E+07      93.361        1.285E+09    37370.4       1.03615      0             
   3.6E+07      0.42375      0             3.6E+07      0.42375       3.6E+07      3.55764       3.6E+07      96.0371       1.286E+09    33951.6       1.06618      0             
   3.7E+07      0.424519     0             3.7E+07      0.424519      3.7E+07      3.55825       3.7E+07      98.7132       1.287E+09    34009         1.09622      0             
   3.8E+07      0.424573     0             3.8E+07      0.424573      3.8E+07      3.55873       3.8E+07      101.366       1.288E+09    34324         1.12625      0             
   3.9E+07      0.424677     0             3.9E+07      0.424677      3.9E+07      3.56044       3.9E+07      104.02        1.289E+09    35485.5       1.15628      0             
   4E+07        0.423351     0             4E+07        0.423351      4E+07        3.56221       4E+07        106.69        1.29E+09     37236.6       1.18632      0             
   4.1E+07      0.424845     0             4.1E+07      0.424845      4.1E+07      3.56246       4.1E+07      109.364       1.291E+09    38313.2       1.21635      0             
   4.2E+07      0.425608     0             4.2E+07      0.425608      4.2E+07      3.56491       4.2E+07      112.031       1.292E+09    37216.5       1.24638      0             
   4.3E+07      0.423788     0             4.3E+07      0.423788      4.3E+07      3.56632       4.3E+07      114.71        1.293E+09    38461.9       1.27642      0             
   4.4E+07      0.424731     0             4.4E+07      0.424731      4.4E+07      3.56643       4.4E+07      117.385       1.294E+09    40211.4       1.30645      0             
   4.5E+07      0.424911     0             4.5E+07      0.424911      4.5E+07      3.56849       4.5E+07      120.05        1.295E+09    42022.3       1.33648      0             
   4.6E+07      0.424726     0             4.6E+07      0.424726      4.6E+07      3.57034       4.6E+07      122.731       1.296E+09    41467.9       1.36652      0             
   4.7E+07      0.424243     0             4.7E+07      0.424243      4.7E+07      3.57117       4.7E+07      125.427       1.297E+09    43186         1.39655      0             
   4.8E+07      0.424658     0             4.8E+07      0.424658      4.8E+07      3.5731        4.8E+07      128.088       1.298E+09    44608.7       1.42658      0             
   4.9E+07      0.42337      0             4.9E+07      0.42337       4.9E+07      3.57345       4.9E+07      130.76        1.299E+09    46079.3       1.45662      0             
   5E+07        0.423604     0             5E+07        0.423604      5E+07        3.57402       5E+07        133.432       1.3E+09      45361.6       1.48665      0             
   5.1E+07      0.424966     0             5.1E+07      0.424966      5.1E+07      3.57495       5.1E+07      136.098       1.301E+09    46326.7       1.51668      0             
   5.2E+07      0.425101     0             5.2E+07      0.425101      5.2E+07      3.57668       5.2E+07      138.77        1.302E+09    48079.2       1.54672      0             
   5.3E+07      0.424554     0             5.3E+07      0.424554      5.3E+07      3.57656       5.3E+07      141.423       1.303E+09    49206.1       1.57675      0             
