# This file was created by gnuFile.py version  $Revision: 632 $ on Wed Aug 19 00:57:54 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# 192-236.adsl.umnet.umich.edu$ ProcessVectors.py
# This data was taken from the file: Symmetric.Power-2.dat, and Symmetric.Arnoldi.dat
# =============================================================================
# 
#  1            2             3            4             5            6             7            8             9            10            11           12            13           14            15           16           
# |-    Sym-Arnoldi-1     -| |-    Sym-Arnoldi-0     -| |-      Asym-Power      -| |-    Asym-Arnoldi-1    -| |-    Asym-Arnoldi-0    -| |-    Sym2-Arnoldi-0    -| |-    Sym2-Arnoldi-1    -| |-      Sym-Power       -| 
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   0.015        0.56424       0.015        0.56364       0.015017     0.016442      0.015017     0.56419       0.015017     0.013052      0.015        0.56437       0.015        -0.62691      0.015        0.5639       
   0.045        0.61762       0.045        0.61755       0.04505      0.01796       0.04505      0.61769       0.04505      0.014353      0.045        0.61798       0.045        -0.68619      0.045        0.61761      
   0.075        0.66306       0.075        0.66312       0.075083     0.019285      0.075083     0.66297       0.075083     0.015458      0.075        0.66287       0.075        -0.73643      0.075        0.66278      
   0.105        0.70438       0.105        0.70326       0.10512      0.020488      0.10512      0.70298       0.10512      0.0159        0.105        0.70331       0.105        -0.78117      0.105        0.70285      
   0.135        0.74046       0.135        0.73983       0.13515      0.021564      0.13515      0.73951       0.13515      0.01724       0.135        0.74047       0.135        -0.82234      0.135        0.73994      
   0.165        0.77402       0.165        0.77415       0.16518      0.022608      0.16518      0.77395       0.16518      0.017686      0.165        0.77411       0.165        -0.85998      0.165        0.77402      
   0.195        0.8059        0.195        0.806         0.19522      0.023526      0.19522      0.80491       0.19522      0.0182        0.195        0.80571       0.195        -0.89473      0.195        0.80545      
   0.225        0.83472       0.225        0.83454       0.22525      0.024329      0.22525      0.83416       0.22525      0.019123      0.225        0.83414       0.225        -0.92649      0.225        0.83395      
   0.255        0.86057       0.255        0.86019       0.25528      0.025108      0.25528      0.85944       0.25528      0.019449      0.255        0.86041       0.255        -0.95584      0.255        0.86002      
   0.285        0.88502       0.285        0.88448       0.28532      0.02577       0.28532      0.8837        0.28532      0.020359      0.285        0.88466       0.285        -0.98238      0.285        0.88423      
   0.315        0.90666       0.315        0.90598       0.31535      0.02644       0.31535      0.90527       0.31535      0.020658      0.315        0.90625       0.315        -1.0066       0.315        0.90602      
   0.345        0.92638       0.345        0.92658       0.34538      0.027016      0.34538      0.92514       0.34538      0.021273      0.345        0.92571       0.345        -1.0282       0.345        0.92562      
   0.375        0.94317       0.375        0.94286       0.37542      0.027545      0.37542      0.94225       0.37542      0.02219       0.375        0.94285       0.375        -1.0474       0.375        0.94279      
   0.405        0.95775       0.405        0.95701       0.40545      0.027967      0.40545      0.95713       0.40545      0.021613      0.405        0.95786       0.405        -1.0637       0.405        0.95763      
   0.435        0.97095       0.435        0.97129       0.43548      0.028319      0.43548      0.96953       0.43548      0.022225      0.435        0.97066       0.435        -1.0777       0.435        0.97037      
   0.465        0.98126       0.465        0.98137       0.46552      0.028641      0.46552      0.98062       0.46552      0.022861      0.465        0.98117       0.465        -1.0896       0.465        0.98088      
   0.495        0.98888       0.495        0.98905       0.49555      0.028892      0.49555      0.98872       0.49555      0.022314      0.495        0.98928       0.495        -1.0986       0.495        0.98916      
   0.525        0.99646       0.525        0.99619       0.52558      0.029052      0.52558      0.99501       0.52558      0.022924      0.525        0.99514       0.525        -1.1048       0.525        0.99478      
   0.555        0.99953       0.555        0.99881       0.55562      0.029119      0.55562      0.99814       0.55562      0.023318      0.555        0.99876       0.555        -1.109        0.555        0.99856      
   0.585        1             0.585        1             0.58565      0.029217      0.58565      1             0.58565      0.022915      0.585        1             0.585        -1.1102       0.585        1            
   0.615        0.99967       0.615        0.99852       0.61568      0.029173      0.61568      0.99892       0.61568      0.023131      0.615        0.99919       0.615        -1.1098       0.615        0.99862      
   0.645        0.99565       0.645        0.99603       0.64572      0.029061      0.64572      0.99539       0.64572      0.022963      0.645        0.99606       0.645        -1.1059       0.645        0.99539      
   0.675        0.99057       0.675        0.98968       0.67575      0.028948      0.67575      0.98958       0.67575      0.023422      0.675        0.99044       0.675        -1.0999       0.675        0.99002      
   0.705        0.98281       0.705        0.98275       0.70578      0.0287        0.70578      0.98195       0.70578      0.022602      0.705        0.98235       0.705        -1.0907       0.705        0.98178      
   0.735        0.97219       0.735        0.9714        0.73582      0.028446      0.73582      0.97072       0.73582      0.022698      0.735        0.97237       0.735        -1.0794       0.735        0.97155      
   0.765        0.95934       0.765        0.95856       0.76585      0.02808       0.76585      0.95809       0.76585      0.02259       0.765        0.95949       0.765        -1.0651       0.765        0.95897      
   0.795        0.94394       0.795        0.94309       0.79588      0.027665      0.79588      0.94312       0.79588      0.021384      0.795        0.94382       0.795        -1.0485       0.795        0.94375      
   0.825        0.9274        0.825        0.92716       0.82592      0.027118      0.82592      0.9248        0.82592      0.02159       0.825        0.92651       0.825        -1.0286       0.825        0.92561      
   0.855        0.90567       0.855        0.90549       0.85595      0.02656       0.85595      0.90464       0.85595      0.020985      0.855        0.90587       0.855        -1.0056       0.855        0.90514      
   0.885        0.88343       0.885        0.88296       0.88598      0.025901      0.88598      0.88119       0.88598      0.020316      0.885        0.88236       0.885        -0.97988      0.885        0.88213      
   0.915        0.85631       0.915        0.85692       0.91602      0.025058      0.91602      0.85451       0.91602      0.019314      0.915        0.85605       0.915        -0.95063      0.915        0.85544      
   0.945        0.82556       0.945        0.82521       0.94605      0.024187      0.94605      0.8245        0.94605      0.019391      0.945        0.82547       0.945        -0.91653      0.945        0.82506      
   0.975        0.7892        0.975        0.78859       0.97608      0.023162      0.97608      0.78743       0.97608      0.018382      0.975        0.78902       0.975        -0.8759       0.975        0.78888      
