# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./Research/PowerResearch --verbose 2 --width 20 --multimedia --inactive 3250 --active 1250 --seed 0 --bins 300 --run --tracks\n 1000000 -f Symmetric.Power-2.dat , seed = 1306049843
# Arguments: source = Bank, run = true, filename = Symmetric.Power-2.dat, multimedia = true, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 300, active = 1250, inactive = 3250, tracks = 1000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5             6            7             8            9             10           11            12           13           
# |-            Power values           -| |-   Power raw values   -| |-        Entropy       -| |-      Power-Time      -| |-       FOM-Power      -| |-     Power vector     -| 
#  x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1E+06        0.28636      0             1E+06        0.28636       1E+06        3.40132       1E+06        1.91706       3.251E+09    0             0.015        0.0888418     
   2E+06        0.400083     0             2E+06        0.400083      2E+06        3.5119        2E+06        4.54554       3.252E+09    916.112       0.045        0.0973039     
   3E+06        0.419797     0             3E+06        0.419797      3E+06        3.51357       3E+06        7.55969       3.253E+09    2059.56       0.075        0.104421      
   4E+06        0.423241     0             4E+06        0.423241      4E+06        3.51391       4E+06        10.3057       3.254E+09    2458.82       0.105        0.110733      
   5E+06        0.424319     0             5E+06        0.424319      5E+06        3.51476       5E+06        13.0155       3.255E+09    2814.56       0.135        0.116577      
   6E+06        0.424179     0             6E+06        0.424179      6E+06        3.51596       6E+06        15.6992       3.256E+09    3082.48       0.165        0.121946      
   7E+06        0.423387     0             7E+06        0.423387      7E+06        3.51779       7E+06        18.4154       3.257E+09    4039.93       0.195        0.126898      
   8E+06        0.424076     0             8E+06        0.424076      8E+06        3.51919       8E+06        21.1273       3.258E+09    5265.69       0.225        0.131388      
   9E+06        0.423304     0             9E+06        0.423304      9E+06        3.51997       9E+06        23.8552       3.259E+09    5657.94       0.255        0.135496      
   1E+07        0.424936     0             1E+07        0.424936      1E+07        3.52085       1E+07        26.6054       3.26E+09     5886.06       0.285        0.13931       
   1.1E+07      0.423564     0             1.1E+07      0.423564      1.1E+07      3.52186       1.1E+07      29.3419       3.261E+09    5806.32       0.315        0.142742      
   1.2E+07      0.42406      0             1.2E+07      0.42406       1.2E+07      3.52321       1.2E+07      32.1277       3.262E+09    6813.72       0.345        0.145831      
   1.3E+07      0.42396      0             1.3E+07      0.42396       1.3E+07      3.52513       1.3E+07      34.9212       3.263E+09    7993.38       0.375        0.148536      
