# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./Research/PowerResearch --verbose 2 --width 20 --multimedia --inactive 1250 --active 2500 --seed 0 --bins 300 --run --tracks\n 1000000 -f Symmetric.Power.dat , seed = 1771201254
# Arguments: source = Bank, run = true, filename = Symmetric.Power.dat, multimedia = true, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 300, active = 2500, inactive = 1250, tracks = 1000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5             6            7             8            9             10           11            12           13           
# |-            Power values           -| |-   Power raw values   -| |-        Entropy       -| |-      Power-Time      -| |-       FOM-Power      -| |-     Power vector     -| 
#  x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1E+06        0.286771     0             1E+06        0.286771      1E+06        3.40044       1E+06        1.88394       1.251E+09    0             0.015        0.0980073     
   2E+06        0.40006      0             2E+06        0.40006       2E+06        3.51213       2E+06        4.43859       1.252E+09    6716.13       0.045        0.107317      
   3E+06        0.418946     0             3E+06        0.418946      3E+06        3.51414       3E+06        7.25689       1.253E+09    13729.1       0.075        0.115145      
   4E+06        0.422221     0             4E+06        0.422221      4E+06        3.51397       4E+06        9.9384        1.254E+09    20119.3       0.105        0.122208      
   5E+06        0.423567     0             5E+06        0.423567      5E+06        3.51415       5E+06        12.7086       1.255E+09    6607.64       0.135        0.128609      
   6E+06        0.424295     0             6E+06        0.424295      6E+06        3.51551       6E+06        15.4977       1.256E+09    8737.78       0.165        0.13456       
   7E+06        0.425462     0             7E+06        0.425462      7E+06        3.51672       7E+06        18.2834       1.257E+09    11312.3       0.195        0.139969      
   8E+06        0.42468      0             8E+06        0.42468       8E+06        3.51814       8E+06        21.0602       1.258E+09    12024.6       0.225        0.144948      
   9E+06        0.424668     0             9E+06        0.424668      9E+06        3.5188        9E+06        23.8436       1.259E+09    10659         0.255        0.149512      
   1E+07        0.424018     0             1E+07        0.424018      1E+07        3.51987       1E+07        26.6421       1.26E+09     12736.3       0.285        0.153688      
   1.1E+07      0.423583     0             1.1E+07      0.423583      1.1E+07      3.52149       1.1E+07      29.4477       1.261E+09    13122.6       0.315        0.15748       
   1.2E+07      0.425148     0             1.2E+07      0.425148      1.2E+07      3.52252       1.2E+07      32.2537       1.262E+09    15427         0.345        0.160827      
   1.3E+07      0.423455     0             1.3E+07      0.423455      1.3E+07      3.52373       1.3E+07      35.0469       1.263E+09    18073.2       0.375        0.163854      
   1.4E+07      0.424415     0             1.4E+07      0.424415      1.4E+07      3.52536       1.4E+07      37.8292       1.264E+09    18694.9       0.405        0.166429      
   1.5E+07      0.423201     0             1.5E+07      0.423201      1.5E+07      3.52595       1.5E+07      40.6097       1.265E+09    20885.3       0.435        0.168625      
   1.6E+07      0.42318      0             1.6E+07      0.42318       1.6E+07      3.52712       1.6E+07      43.3885       1.266E+09    21640.3       0.465        0.170384      
   1.7E+07      0.424844     0             1.7E+07      0.424844      1.7E+07      3.52866       1.7E+07      46.1709       1.267E+09    24408         0.495        0.171827      
   1.8E+07      0.423734     0             1.8E+07      0.423734      1.8E+07      3.52985       1.8E+07      48.9431       1.268E+09    26428.2       0.525        0.172865      
   1.9E+07      0.424444     0             1.9E+07      0.424444      1.9E+07      3.53197       1.9E+07      51.7154       1.269E+09    29062.6       0.555        0.173488      
   2E+07        0.42473      0             2E+07        0.42473       2E+07        3.53252       2E+07        54.4893       1.27E+09     28607.3       0.585        0.173775      
   2.1E+07      0.424633     0             2.1E+07      0.424633      2.1E+07      3.53326       2.1E+07      57.2674       1.271E+09    25459.3       0.615        0.173588      
   2.2E+07      0.424402     0             2.2E+07      0.424402      2.2E+07      3.53512       2.2E+07      60.0476       1.272E+09    27662.5       0.645        0.173065      
   2.3E+07      0.423525     0             2.3E+07      0.423525      2.3E+07      3.53744       2.3E+07      62.8264       1.273E+09    29293.6       0.675        0.172026      
   2.4E+07      0.423917     0             2.4E+07      0.423917      2.4E+07      3.53824       2.4E+07      65.6077       1.274E+09    31213.2       0.705        0.170624      
   2.5E+07      0.424886     0             2.5E+07      0.424886      2.5E+07      3.53929       2.5E+07      68.3945       1.275E+09    32514.5       0.735        0.168836      
