# This file was created by gnuFile.py version  $Revision: 612 $ on Fri Jun 19 11:20:22 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.engin.umich.edu$ ../cpp/Misc/procOUTSN.py OUTSN-w100.dat
# 
# =============================================================================
# 
#   1            2             3            4             5            6             7            8           
# |-        Flux2          -||-        Flux3          -||-        Flux1          -||-    FissionSource      -|
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      
   0.125        0             0.125        0             0.125        0.035946      0.125        0.00018043   
   0.375        0             0.375        0             0.375        0.05033       0.375        0.00025263   
   0.625        0             0.625        0             0.625        0.062877      0.625        0.00031561   
   0.875        0             0.875        0             0.875        0.075366      0.875        0.0003783    
   1.125        0             1.125        0             1.125        0.087553      1.125        0.00043947   
   1.375        0             1.375        0             1.375        0.099696      1.375        0.00050042   
   1.625        0             1.625        0             1.625        0.11176       1.625        0.00056096   
   1.875        0             1.875        0             1.875        0.12379       1.875        0.00062134   
   2.125        0             2.125        0             2.125        0.13579       2.125        0.00068157   
   2.375        0             2.375        0             2.375        0.14776       2.375        0.00074169   
   2.625        0             2.625        0             2.625        0.15972       2.625        0.00080172   
   2.875        0             2.875        0             2.875        0.17167       2.875        0.00086167   
   3.125        0             3.125        0             3.125        0.18359       3.125        0.00092154   
   3.375        0             3.375        0             3.375        0.19551       3.375        0.00098135   
   3.625        0             3.625        0             3.625        0.20741       3.625        0.0010411    
   3.875        0             3.875        0             3.875        0.2193        3.875        0.0011008    
   4.125        0             4.125        0             4.125        0.23117       4.125        0.0011604    
   4.375        0             4.375        0             4.375        0.24303       4.375        0.0012199    
   4.625        0             4.625        0             4.625        0.25487       4.625        0.0012793    
   4.875        0             4.875        0             4.875        0.2667        4.875        0.0013387    
   5.125        0             5.125        0             5.125        0.27851       5.125        0.001398     
   5.375        0             5.375        0             5.375        0.29031       5.375        0.0014572    
   5.625        0             5.625        0             5.625        0.30208       5.625        0.0015163    
   5.875        0             5.875        0             5.875        0.31384       5.875        0.0015753    
   6.125        0             6.125        0             6.125        0.32558       6.125        0.0016342    
   6.375        0             6.375        0             6.375        0.3373        6.375        0.0016931    
   6.625        0             6.625        0             6.625        0.349         6.625        0.0017518    
   6.875        0             6.875        0             6.875        0.36068       6.875        0.0018104    
   7.125        0             7.125        0             7.125        0.37234       7.125        0.0018689    
   7.375        0             7.375        0             7.375        0.38398       7.375        0.0019273    
   7.625        0             7.625        0             7.625        0.39559       7.625        0.0019856    
   7.875        0             7.875        0             7.875        0.40718       7.875        0.0020438    
   8.125        0             8.125        0             8.125        0.41874       8.125        0.0021018    
   8.375        0             8.375        0             8.375        0.43028       8.375        0.0021598    
   8.625        0             8.625        0             8.625        0.44179       8.625        0.0022175    
   8.875        0             8.875        0             8.875        0.45328       8.875        0.0022752    
   9.125        0             9.125        0             9.125        0.46474       9.125        0.0023327    
   9.375        0             9.375        0             9.375        0.47617       9.375        0.0023901    
   9.625        0             9.625        0             9.625        0.48757       9.625        0.0024473    
   9.875        0             9.875        0             9.875        0.49894       9.875        0.0025044    
   10.125       0             10.125       0             10.125       0.51029       10.125       0.0025614    
   10.375       0             10.375       0             10.375       0.5216        10.375       0.0026181    
   10.625       0             10.625       0             10.625       0.53288       10.625       0.0026748    
   10.875       0             10.875       0             10.875       0.54413       10.875       0.0027312    
   11.125       0             11.125       0             11.125       0.55535       11.125       0.0027875    
   11.375       0             11.375       0             11.375       0.56653       11.375       0.0028437    
   11.625       0             11.625       0             11.625       0.57768       11.625       0.0028996    
   11.875       0             11.875       0             11.875       0.5888        11.875       0.0029554    
   12.125       0             12.125       0             12.125       0.59988       12.125       0.0030111    
   12.375       0             12.375       0             12.375       0.61092       12.375       0.0030665    
   12.625       0             12.625       0             12.625       0.62193       12.625       0.0031217    
   12.875       0             12.875       0             12.875       0.6329        12.875       0.0031768    
   13.125       0             13.125       0             13.125       0.64383       13.125       0.0032317    
   13.375       0             13.375       0             13.375       0.65472       13.375       0.0032863    
   13.625       0             13.625       0             13.625       0.66558       13.625       0.0033408    
   13.875       0             13.875       0             13.875       0.67639       13.875       0.0033951    
   14.125       0             14.125       0             14.125       0.68716       14.125       0.0034492    
   14.375       0             14.375       0             14.375       0.6979        14.375       0.0035031    
   14.625       0             14.625       0             14.625       0.70859       14.625       0.0035567    
   14.875       0             14.875       0             14.875       0.71923       14.875       0.0036102    
   15.125       0             15.125       0             15.125       0.72984       15.125       0.0036634    
   15.375       0             15.375       0             15.375       0.7404        15.375       0.0037164    
   15.625       0             15.625       0             15.625       0.75092       15.625       0.0037692    
   15.875       0             15.875       0             15.875       0.76139       15.875       0.0038217    
   16.125       0             16.125       0             16.125       0.77181       16.125       0.0038741    
   16.375       0             16.375       0             16.375       0.78219       16.375       0.0039262    
   16.625       0             16.625       0             16.625       0.79253       16.625       0.003978     
   16.875       0             16.875       0             16.875       0.80281       16.875       0.0040297    
   17.125       0             17.125       0             17.125       0.81305       17.125       0.004081     
   17.375       0             17.375       0             17.375       0.82324       17.375       0.0041322    
