# This file was created by gnuFile.py version  $Revision: 612 $ on Mon Jun 22 12:59:05 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.engin.umich.edu$ /Users/jlconlin/Code/Misc/procOUTSN.py
# 
# =============================================================================
# 
#   1            2             3            4             5            6             7            8           
# |-        Flux2          -||-        Flux3          -||-        Flux1          -||-    FissionSource      -|
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      
   0.0625       0             0.0625       0             0.0625       0.062607      0.0625       0.00031424   
   0.1875       0             0.1875       0             0.1875       0.078015      0.1875       0.00039157   
   0.3125       0             0.3125       0             0.3125       0.091139      0.3125       0.00045744   
   0.4375       0             0.4375       0             0.4375       0.10386       0.4375       0.00052129   
   0.5625       0             0.5625       0             0.5625       0.11624       0.5625       0.00058343   
   0.6875       0             0.6875       0             0.6875       0.12842       0.6875       0.00064454   
   0.8125       0             0.8125       0             0.8125       0.14045       0.8125       0.00070493   
   0.9375       0             0.9375       0             0.9375       0.15238       0.9375       0.00076481   
   1.0625       0             1.0625       0             1.0625       0.16423       1.0625       0.0008243    
   1.1875       0             1.1875       0             1.1875       0.17602       1.1875       0.00088348   
   1.3125       0             1.3125       0             1.3125       0.18776       1.3125       0.00094242   
   1.4375       0             1.4375       0             1.4375       0.19947       1.4375       0.0010012    
   1.5625       0             1.5625       0             1.5625       0.21113       1.5625       0.0010597    
   1.6875       0             1.6875       0             1.6875       0.22277       1.6875       0.0011181    
   1.8125       0             1.8125       0             1.8125       0.23438       1.8125       0.0011764    
   1.9375       0             1.9375       0             1.9375       0.24597       1.9375       0.0012345    
   2.0625       0             2.0625       0             2.0625       0.25753       2.0625       0.0012926    
   2.1875       0             2.1875       0             2.1875       0.26907       2.1875       0.0013505    
   2.3125       0             2.3125       0             2.3125       0.28058       2.3125       0.0014083    
   2.4375       0             2.4375       0             2.4375       0.29208       2.4375       0.001466     
   2.5625       0             2.5625       0             2.5625       0.30355       2.5625       0.0015236    
