# This file was created by gnuFile.py version  $Revision: 632 $ on Fri Jul 17 11:31:38 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.engin.umich.edu$ GetData1E5.py
# 
# =============================================================================
# 
#  1            2             3            4             5            6            7             8            9            10            11           12           13            14           15            16           17            18           19           
# |-        Tracks        -| |-         Time         -| |-            Eigenvalue-0           -| |-            Eigenvalue-1           -| |-            Eigenvalue-2           -| |-        FOM-0         -| |-        FOM-1         -| |-        FOM-2         -| 
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   0            5E+08         0            1562.6        0            0.99752      0.00025961    0            0.98928      0.00023996    0            0.9771       0.00025138    0            9494.8        0            11114         0            10127        
   1E-08        5E+08         1E-08        1562.4        1E-08        0.99769      0.00028394    1E-08        0.98925      0.00027477    1E-08        0.97767      0.0002555     1E-08        7938.7        1E-08        8478          1E-08        9804.9       
   2.5E-08      5E+08         2.5E-08      1562.8        2.5E-08      0.99765      0.00026751    2.5E-08      0.98981      0.00025411    2.5E-08      0.97671      0.00032475    2.5E-08      8941.3        2.5E-08      9909.3        2.5E-08      6067.3       
   5E-08        5E+08         5E-08        1576.2        5E-08        0.99718      0.00023957    5E-08        0.98976      0.00025924    5E-08        0.97707      0.00030392    5E-08        11054         5E-08        9440          5E-08        6868.4       
   7.5E-08      5E+08         7.5E-08      1579.4        7.5E-08      0.99709      0.00022891    7.5E-08      0.98959      0.00022944    7.5E-08      0.97738      0.00023594    7.5E-08      12082         7.5E-08      12027         7.5E-08      11373        
   1E-07        5E+08         1E-07        1567          1E-07        0.99723      0.00023343    1E-07        0.98963      0.00025999    1E-07        0.97727      0.00028248    1E-07        11712         1E-07        9441.2        1E-07        7997.5       
   2.5E-07      5E+08         2.5E-07      1721.7        2.5E-07      0.99718      0.00024556    2.5E-07      0.98933      0.00024543    2.5E-07      0.97733      0.00023952    2.5E-07      9632.3        2.5E-07      9642.7        2.5E-07      10124        
   5E-07        5E+08         5E-07        1560.8        5E-07        0.99752      0.0002305     5E-07        0.98936      0.00021536    5E-07        0.97709      0.00028771    5E-07        12059         5E-07        13814         5E-07        7740         
   7.5E-07      5E+08         7.5E-07      1578.7        7.5E-07      0.99741      0.00023176    7.5E-07      0.98931      0.00025356    7.5E-07      0.97752      0.0002707     7.5E-07      11794         7.5E-07      9853          7.5E-07      8644.1       
   2.5E-06      5E+08         2.5E-06      1569.7        2.5E-06      0.99714      0.00024457    2.5E-06      0.98932      0.00027658    2.5E-06      0.97745      0.00023525    2.5E-06      10650         2.5E-06      8328          2.5E-06      11511        
