# This file was created by gnuFile.py version  $Revision: 632 $ on Sat Jul 18 21:04:27 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# 193-97.adsl.umnet.umich.edu$ GetData5E6.py
# 
# =============================================================================
# 
#  1            2             3            4             5            6            7             8            9            10            11           12           13            14           15            16           17            18           19           
# |-        Tracks        -| |-         Time         -| |-            Eigenvalue-0           -| |-            Eigenvalue-1           -| |-            Eigenvalue-2           -| |-        FOM-0         -| |-        FOM-1         -| |-        FOM-2         -| 
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   0            2.5E+10       0            78476         0            0.9974       3.3005E-05    0            0.98968      3.5339E-05    0            0.97715      3.022E-05     0            11698         0            10204         0            13953        
   1E-08        2.5E+10       1E-08        78780         1E-08        0.99736      3.4848E-05    1E-08        0.98966      3.5757E-05    1E-08        0.97716      3.2191E-05    1E-08        10453         1E-08        9928          1E-08        12250        
   2.5E-08      2.5E+10       2.5E-08      78308         2.5E-08      0.99738      3.079E-05     2.5E-08      0.98969      3.4531E-05    2.5E-08      0.97717      2.7234E-05    2.5E-08      13470         2.5E-08      10709         2.5E-08      17218        
   5E-08        2.5E+10       5E-08        77916         5E-08        0.9974       3.1908E-05    5E-08        0.98969      3.311E-05     5E-08        0.9772       2.9175E-05    5E-08        12606         5E-08        11707         5E-08        15078        
   7.5E-08      2.5E+10       7.5E-08      78104         7.5E-08      0.99737      3.1203E-05    7.5E-08      0.98972      3.2663E-05    7.5E-08      0.97718      2.6567E-05    7.5E-08      13150         7.5E-08      12001         7.5E-08      18140        
   1E-07        2.5E+10       1E-07        78785         1E-07        0.99737      3.0518E-05    1E-07        0.9897       3.1955E-05    1E-07        0.97718      2.95E-05      1E-07        13628         1E-07        12430         1E-07        14585        
   2.5E-07      2.5E+10       2.5E-07      78219         2.5E-07      0.99741      3.1464E-05    2.5E-07      0.98963      3.0862E-05    2.5E-07      0.97718      3.0891E-05    2.5E-07      12914         2.5E-07      13423         2.5E-07      13398        
   5E-07        2.5E+10       5E-07        77835         5E-07        0.9974       3.1653E-05    5E-07        0.98968      3.2839E-05    5E-07        0.97714      2.5524E-05    5E-07        12824         5E-07        11913         5E-07        19720        
   7.5E-07      2.5E+10       7.5E-07      78100         7.5E-07      0.9974       3.8043E-05    7.5E-07      0.98971      3.4132E-05    7.5E-07      0.97714      3.05E-05      7.5E-07      8847.1        7.5E-07      10991         7.5E-07      13764        
   2.5E-06      2.4998E+10    2.5E-06      78718         2.5E-06      0.99739      3.2732E-05    2.5E-06      0.98967      3.458E-05     2.5E-06      0.97717      2.8717E-05    2.5E-06      11857         2.5E-06      10623         2.5E-06      15405        
   7.5E-06      2.4971E+10    7.5E-06      78136         7.5E-06      0.99746      3.0296E-05    7.5E-06      0.98974      3.554E-05     7.5E-06      0.97718      2.7785E-05    7.5E-06      13944         7.5E-06      10133         7.5E-06      16578        
   1E-05        2.4919E+10    1E-05        77898         1E-05        0.99734      3.1027E-05    1E-05        0.98969      3.6429E-05    1E-05        0.97717      2.9728E-05    1E-05        13335         1E-05        9673.3        1E-05        14526        
   2.5E-05      2.4525E+10    2.5E-05      76967         2.5E-05      0.99741      3.2121E-05    2.5E-05      0.98971      3.3246E-05    2.5E-05      0.97714      3.0675E-05    2.5E-05      12592         2.5E-05      11755         2.5E-05      13808        
   5E-05        2.5442E+10    5E-05        79677         5E-05        0.99745      2.7603E-05    5E-05        0.98967      3.0271E-05    5E-05        0.97718      2.608E-05     5E-05        16473         5E-05        13696         5E-05        18452        
   7.5E-05      2.5504E+10    7.5E-05      79891         7.5E-05      0.99745      3.1373E-05    7.5E-05      0.9897       2.7359E-05    7.5E-05      0.97716      2.4466E-05    7.5E-05      12717         7.5E-05      16722         7.5E-05      20911        
   0.0001       2.5436E+10    0.0001       78825         0.0001       0.99741      2.8549E-05    0.0001       0.98966      2.769E-05     0.0001       0.9772       2.6124E-05    0.0001       15566         0.0001       16546         0.0001       18589        
   0.00025      2.5601E+10    0.00025      79515         0.00025      0.9974       2.2864E-05    0.00025      0.98972      2.452E-05     0.00025      0.97718      2.5399E-05    0.00025      24056         0.00025      20918         0.00025      19495        
   0.0005       2.5563E+10    0.0005       79022         0.0005       0.99739      2.5797E-05    0.0005       0.98964      2.516E-05     0.0005       0.97721      2.3732E-05    0.0005       19016         0.0005       19991         0.0005       22469        
   0.00075      2.548E+10     0.00075      78981         0.00075      0.99744      2.3833E-05    0.00075      0.9897       2.3129E-05    0.00075      0.97718      2.4394E-05    0.00075      22290         0.00075      23668         0.00075      21277        
