# This file was created by gnuFile.py version  $Revision: 569 $ on Sat Jun 13 09:54:51 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# 193-97.adsl.umnet.umich.edu$ GetData.py
# 
# =============================================================================
# 
#   1            2            3             4            5            6             7            8            9              10           11            12           13           14            15           16           17            18           19           20          
# |-              Bias0                -| |-              Bias1                -| |-              Bias2                -| |-         FOM          -||-           Eigenvalue-0            -| |-           Eigenvalue-1            -| |-           Eigenvalue-2            -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error        
   2            0.027412     0.00020815    2            0.097811     0.00019553    2            0.18538      0.0001739     2            838.54        2            4.8003       0.00020815    2            4.2853       0.00019553    2            3.6321       0.0001739    
   0.8          0.004522     0.00021783    0.8          0.017291     0.00018981    0.8          0.034519     0.00018073    0.8          751.07        0.8          4.8232       0.00021783    0.8          4.3658       0.00018981    0.8          3.783        0.00018073   
   0.5          0.001902     0.00020536    0.5          0.007281     0.0001926     0.5          0.013749     0.00018183    0.5          832.93        0.5          4.8258       0.00020536    0.5          4.3758       0.0001926     0.5          3.8037       0.00018183   
   0.4          0.001072     0.0002096     0.4          0.004681     0.00019487    0.4          0.009389     0.00018169    0.4          796.08        0.4          4.8267       0.0002096     0.4          4.3784       0.00019487    0.4          3.8081       0.00018169   
   0.33333      0.000732     0.00021425    0.33333      0.002941     0.00019949    0.33333      0.006359     0.00018735    0.33333      751.02        0.33333      4.827        0.00021425    0.33333      4.3802       0.00019949    0.33333      3.8111       0.00018735   
   0.26667      0.000832     0.00020863    0.26667      0.002051     0.00020523    0.26667      0.004219     0.00018679    0.26667      787.55        0.26667      4.8269       0.00020863    0.26667      4.3811       0.00020523    0.26667      3.8133       0.00018679   
   0.22222      0.000272     0.00022129    0.22222      0.001311     0.00019161    0.22222      0.002639     0.00019282    0.22222      694.27        0.22222      4.8275       0.00022129    0.22222      4.3818       0.00019161    0.22222      3.8148       0.00019282   
   0.19048      0.000342     0.00020787    0.19048      0.001081     0.00020855    0.19048      0.002339     0.00019047    0.19048      768.78        0.19048      4.8274       0.00020787    0.19048      4.382        0.00020855    0.19048      3.8151       0.00019047   
   0.16667      0.000162     0.00019803    0.16667      0.000991     0.00020341    0.16667      0.001609     0.00017869    0.16667      846.78        0.16667      4.8276       0.00019803    0.16667      4.3821       0.00020341    0.16667      3.8159       0.00017869   
   0.14815      0.000262     0.0002039     0.14815      0.000791     0.00020417    0.14815      0.001079     0.00018355    0.14815      793.93        0.14815      4.8275       0.0002039     0.14815      4.3823       0.00020417    0.14815      3.8164       0.00018355   
   0.13333      0.000268     0.00020906    0.13333      0.000691     0.00019635    0.13333      0.000899     0.0001927     0.13333      746.78        0.13333      4.828        0.00020906    0.13333      4.3824       0.00019635    0.13333      3.8166       0.0001927    
