# This file was created by gnuFile.py version  $Revision: 612 $ on Wed Jun 17 10:27:24 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.engin.umich.edu$ GetData.py
# 
# =============================================================================
# 
#  1            2            3            4            5            6            7            8            9             10           11           12           13           14           15           16           17           18           19           20          
# |-              Bias0                 -| |-              Bias1                 -| |-              Bias2                 -| |-         FOM           -||-           Eigenvalue-0             -| |-           Eigenvalue-1             -| |-           Eigenvalue-2             -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error        
   2            0.002458     0.0011541     2            0.003569     0.0023155     2            0.015561     0.0042665     2            259.45        2            4.8302       0.0011541     2            4.3867       0.0023155     2            3.833        0.0042665    
   0.8          0.000208     0.00043836    0.8          0.000109     0.00065823    0.8          0.001781     0.0010368     0.8          1765.7        0.8          4.828        0.00043836    0.8          4.3832       0.00065823    0.8          3.8192       0.0010368    
   0.5          0.000568     0.00044865    0.5          0.000621     0.00065632    0.5          0.001819     0.0010411     0.5          1675.6        0.5          4.8283       0.00044865    0.5          4.3825       0.00065632    0.5          3.8157       0.0010411    
   0.4          6.2E-05      0.00044747    0.4          0.000829     0.00059933    0.4          0.001929     0.001058      0.4          1470.6        0.4          4.8277       0.00044747    0.4          4.3839       0.00059933    0.4          3.8155       0.001058     
   0.33333      0.000538     0.0003889     0.33333      0.000429     0.00061974    0.33333      0.001249     0.0011779     0.33333      2171.6        0.33333      4.8283       0.0003889     0.33333      4.3835       0.00061974    0.33333      3.8162       0.0011779    
   0.26667      0.000152     0.00039724    0.26667      0.001731     0.00086725    0.26667      0.008619     0.0019552     0.26667      2069.3        0.26667      4.8276       0.00039724    0.26667      4.3814       0.00086725    0.26667      3.8089       0.0019552    
   0.22222      0.000202     0.00037538    0.22222      0.008721     0.0020561     0.22222      0.53671      0.0045812     0.22222      2251.3        0.22222      4.8275       0.00037538    0.22222      4.3744       0.0020561     0.22222      3.2808       0.0045812    
   0.19048      0.001812     0.00059379    0.19048      0.028671     0.0017247     0.19048      0.6416       0.004348      0.19048      877.1         0.19048      4.8259       0.00059379    0.19048      4.3544       0.0017247     0.19048      3.1759       0.004348     
   0.16667      0.010562     0.0012715     0.16667      0.11187      0.0052373     0.16667      0.97003      0.016541      0.16667      189.43        0.16667      4.8172       0.0012715     0.16667      4.2712       0.0052373     0.16667      2.8474       0.016541     
   0.14815      0.016732     0.0021368     0.14815      0.19182      0.010044      0.14815      2.0631       0.02022       0.14815      66.217        0.14815      4.811        0.0021368     0.14815      4.1913       0.010044      0.14815      1.7544       0.02022      
   0.13333      0.017562     0.0020251     0.13333      0.38701      0.012208      0.13333      2.39         0.0036074     0.13333      72.977        0.13333      4.8102       0.0020251     0.13333      3.9961       0.012208      0.13333      1.4275       0.0036074    
