# This file was created by gnuFile.py version  $Revision: 612 $ on Wed Jun 17 10:28:55 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.engin.umich.edu$ GetData.py
# 
# =============================================================================
# 
#  1            2            3            4            5            6            7            8            9             10           11           12           13           14           15           16           17           18           19           20          
# |-              Bias0                 -| |-              Bias1                 -| |-              Bias2                 -| |-         FOM           -||-           Eigenvalue-0             -| |-           Eigenvalue-1             -| |-           Eigenvalue-2             -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error        
   2            0.005108     0.0041236     2            0.002289     0.0015933     2            0.005881     0.0031453     2            2.0454        2            4.8329       0.0041236     2            4.3854       0.0015933     2            3.8234       0.0031453    
   0.8          0.000312     0.00014627    0.8          0.000151     0.00020599    0.8          0.000379     0.0003163     0.8          1607.8        0.8          4.8274       0.00014627    0.8          4.383        0.00020599    0.8          3.8171       0.0003163    
   0.5          6.8E-05      0.00013912    0.5          0.000309     0.00021007    0.5          0.000271     0.00031208    0.5          1742          0.5          4.8278       0.00013912    0.5          4.3834       0.00021007    0.5          3.8177       0.00031208   
   0.4          0.000172     0.00014871    0.4          0.000251     0.0002005     0.4          0.000109     0.00031104    0.4          1512.8        0.4          4.8276       0.00014871    0.4          4.3829       0.0002005     0.4          3.8174       0.00031104   
   0.33333      0.000112     0.00013437    0.33333      8.1E-05      0.00021372    0.33333      0.000599     0.00032278    0.33333      1832.8        0.33333      4.8276       0.00013437    0.33333      4.383        0.00021372    0.33333      3.8169       0.00032278   
   0.26667      5.2E-05      0.00013851    0.26667      4.1E-05      0.00022254    0.26667      0.000629     0.00032289    0.26667      1692.6        0.26667      4.8277       0.00013851    0.26667      4.3831       0.00022254    0.26667      3.8168       0.00032289   
   0.22222      7.8E-05      0.00013638    0.22222      0.000229     0.00020574    0.22222      9.9E-05      0.00033715    0.22222      1730.6        0.22222      4.8278       0.00013638    0.22222      4.3833       0.00020574    0.22222      3.8174       0.00033715   
   0.19048      0.000108     0.00013736    0.19048      7.1E-05      0.00021292    0.19048      0.000471     0.0003353     0.19048      1701.9        0.19048      4.8279       0.00013736    0.19048      4.383        0.00021292    0.19048      3.8179       0.0003353    
   0.16667      4.8E-05      0.0001264     0.16667      0.000311     0.00020012    0.16667      0.000299     0.0003713     0.16667      1985.2        0.16667      4.8278       0.0001264     0.16667      4.3828       0.00020012    0.16667      3.8172       0.0003713    
   0.14815      0.000188     0.00013268    0.14815      0.000119     0.00020857    0.14815      0.000301     0.00042292    0.14815      1757.3        0.14815      4.8279       0.00013268    0.14815      4.3832       0.00020857    0.14815      3.8178       0.00042292   
   0.13333      6.2E-05      0.00012338    0.13333      0.000129     0.00025313    0.13333      0.000919     0.00057948    0.13333      2015          0.13333      4.8277       0.00012338    0.13333      4.3832       0.00025313    0.13333      3.8165       0.00057948   
