# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --eigenvalues 3 --tracks 1000000 --inactive 50 --source Linear --Iterations\n 10 --active 500 --seed 0 --run --bins 60 -f Bins/20mfp-BetterStats-nyx/Linear/1E6Tracks/20mfp.b60.dat , seed\n = 1821907005
# Arguments: source = Linear, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats-nyx/Linear/1E6Tracks/20mfp.b60.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 60, active = 500, inactive = 50, tracks = 1000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8             9            10            11           12           13            14           15           16            17           18            19           20            21           22           23            24           25           26            27           28            29           30            31           32            33           34            35           36            37           38           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-      FOM-Arnoldi     -| |-   RAM eigenvector-0  -| |-   RAM eigenvector-1  -| |-   RAM eigenvector-2  -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1E+07        4.8265       0             1E+07        0            0             1E+07        4.8265        1E+07        0             1E+07        3.70319      0             1E+07        0.0622467    0             1E+07        3.70319       1E+07        0.0622467     1E+07        3.70319      0             1E+07        -0.0622467   0             1E+07        3.70319       1E+07        -0.0622467    5.1E+08      0             0            0.00678461    0            -0.00832298   0            -0.00842736   
   2E+07        4.83042      0             2E+07        0            0             2E+07        4.83042       2E+07        0             2E+07        4.38243      0             2E+07        0            0             2E+07        4.38243       2E+07        0             2E+07        3.82018      0             2E+07        0            0             2E+07        3.82018       2E+07        0             5.2E+08      388.707       0.333333     0.0114146     0.333333     -0.0140103    0.333333     -0.0142349    
   3E+07        4.83069      0             3E+07        0            0             3E+07        4.83069       3E+07        0             3E+07        4.38999      0             3E+07        0            0             3E+07        4.38999       3E+07        0             3E+07        3.82071      0             3E+07        0            0             3E+07        3.82071       3E+07        0             5.3E+08      295.705       0.333333     0.0113231     0.333333     -0.0139095    0.333333     -0.0141325    
   4E+07        4.82462      0             4E+07        0            0             4E+07        4.82462       4E+07        0             4E+07        4.37726      0             4E+07        0            0             4E+07        4.37726       4E+07        0             4E+07        3.81267      0             4E+07        0            0             4E+07        3.81267       4E+07        0             5.4E+08      98.3379       0.666667     0.0153226     0.666667     -0.0186842    0.666667     -0.0188097    
   5E+07        4.8268       0             5E+07        0            0             5E+07        4.8268        5E+07        0             5E+07        4.38215      0             5E+07        0            0             5E+07        4.38215       5E+07        0             5E+07        3.81799      0             5E+07        0            0             5E+07        3.81799       5E+07        0             5.5E+08      135.702       0.666667     0.0153177     0.666667     -0.0186959    0.666667     -0.0188142    
   6E+07        4.8303       0             6E+07        0            0             6E+07        4.8303        6E+07        0             6E+07        4.38336      0             6E+07        0            0             6E+07        4.38336       6E+07        0             6E+07        3.82655      0             6E+07        0            0             6E+07        3.82655       6E+07        0             5.6E+08      190.346       1            0.019121      1            -0.0231184    1            -0.0228945    
   7E+07        4.82771      0             7E+07        0            0             7E+07        4.82771       7E+07        0             7E+07        4.38375      0             7E+07        0            0             7E+07        4.38375       7E+07        0             7E+07        3.8153       0             7E+07        0            0             7E+07        3.8153        7E+07        0             5.7E+08      231.64        1            0.0191166     1            -0.0231294    1            -0.0228933    
   8E+07        4.82894      0             8E+07        0            0             8E+07        4.82894       8E+07        0             8E+07        4.38644      0             8E+07        0            0             8E+07        4.38644       8E+07        0             8E+07        3.83036      0             8E+07        0            0             8E+07        3.83036       8E+07        0             5.8E+08      287.948       1.33333      0.0228398     1.33333      -0.0272823    1.33333      -0.0264334    
   9E+07        4.82964      0             9E+07        0            0             9E+07        4.82964       9E+07        0             9E+07        4.38762      0             9E+07        0            0             9E+07        4.38762       9E+07        0             9E+07        3.82208      0             9E+07        0            0             9E+07        3.82208       9E+07        0             5.9E+08      315.345       1.33333      0.0228135     1.33333      -0.0272834    1.33333      -0.0264161    
   1E+08        4.82746      0             1E+08        0            0             1E+08        4.82746       1E+08        0             1E+08        4.38206      0             1E+08        0            0             1E+08        4.38206       1E+08        0             1E+08        3.81558      0             1E+08        0            0             1E+08        3.81558       1E+08        0             6E+08        375.727       1.66667      0.0264552     1.66667      -0.0311562    1.66667      -0.0293535    
   1.1E+08      4.82573      0             1.1E+08      0            0             1.1E+08      4.82573       1.1E+08      0             1.1E+08      4.38294      0             1.1E+08      0            0             1.1E+08      4.38294       1.1E+08      0             1.1E+08      3.81703      0             1.1E+08      0            0             1.1E+08      3.81703       1.1E+08      0             6.1E+08      415.663       1.66667      0.026449      1.66667      -0.0311364    1.66667      -0.0293559    
   1.2E+08      4.82892      0             1.2E+08      0            0             1.2E+08      4.82892       1.2E+08      0             1.2E+08      4.38341      0             1.2E+08      0            0             1.2E+08      4.38341       1.2E+08      0             1.2E+08      3.82441      0             1.2E+08      0            0             1.2E+08      3.82441       1.2E+08      0             6.2E+08      486.663       2            0.0300202     2            -0.0346834    2            -0.031631     
   1.3E+08      4.82445      0             1.3E+08      0            0             1.3E+08      4.82445       1.3E+08      0             1.3E+08      4.38474      0             1.3E+08      0            0             1.3E+08      4.38474       1.3E+08      0             1.3E+08      3.82508      0             1.3E+08      0            0             1.3E+08      3.82508       1.3E+08      0             6.3E+08      559.088       2            0.030024      2            -0.0347097    2            -0.0316198    
   1.4E+08      4.8236       0             1.4E+08      0            0             1.4E+08      4.8236        1.4E+08      0             1.4E+08      4.384        0             1.4E+08      0            0             1.4E+08      4.384         1.4E+08      0             1.4E+08      3.80877      0             1.4E+08      0            0             1.4E+08      3.80877       1.4E+08      0             6.4E+08      590.184       2.33333      0.0334908     2.33333      -0.0378688    2.33333      -0.0332121    
   1.5E+08      4.82745      0             1.5E+08      0            0             1.5E+08      4.82745       1.5E+08      0             1.5E+08      4.38394      0             1.5E+08      0            0             1.5E+08      4.38394       1.5E+08      0             1.5E+08      3.82867      0             1.5E+08      0            0             1.5E+08      3.82867       1.5E+08      0             6.5E+08      655.756       2.33333      0.0334919     2.33333      -0.0378963    2.33333      -0.0331946    
   1.6E+08      4.82565      0             1.6E+08      0            0             1.6E+08      4.82565       1.6E+08      0             1.6E+08      4.38597      0             1.6E+08      0            0             1.6E+08      4.38597       1.6E+08      0             1.6E+08      3.82266      0             1.6E+08      0            0             1.6E+08      3.82266       1.6E+08      0             6.6E+08      709.137       2.66667      0.0368641     2.66667      -0.0407464    2.66667      -0.0340477    
   1.7E+08      4.82893      0             1.7E+08      0            0             1.7E+08      4.82893       1.7E+08      0             1.7E+08      4.38275      0             1.7E+08      0            0             1.7E+08      4.38275       1.7E+08      0             1.7E+08      3.82638      0             1.7E+08      0            0             1.7E+08      3.82638       1.7E+08      0             6.7E+08      754.858       2.66667      0.0369028     2.66667      -0.0407509    2.66667      -0.0340836    
   1.8E+08      4.82679      0             1.8E+08      0            0             1.8E+08      4.82679       1.8E+08      0             1.8E+08      4.38006      0             1.8E+08      0            0             1.8E+08      4.38006       1.8E+08      0             1.8E+08      3.80873      0             1.8E+08      0            0             1.8E+08      3.80873       1.8E+08      0             6.8E+08      791.094       3            0.0401805     3            -0.043143     3            -0.0341856    
   1.9E+08      4.8265       0             1.9E+08      0            0             1.9E+08      4.8265        1.9E+08      0             1.9E+08      4.38576      0             1.9E+08      0            0             1.9E+08      4.38576       1.9E+08      0             1.9E+08      3.80703      0             1.9E+08      0            0             1.9E+08      3.80703       1.9E+08      0             6.9E+08      820.627       3            0.0401975     3            -0.0431796    3            -0.0341972    
   2E+08        4.82586      0             2E+08        0            0             2E+08        4.82586       2E+08        0             2E+08        4.37994      0             2E+08        0            0             2E+08        4.37994       2E+08        0             2E+08        3.80891      0             2E+08        0            0             2E+08        3.80891       2E+08        0             7E+08        851.534       3.33333      0.0433849     3.33333      -0.0452052    3.33333      -0.0335876    
   2.1E+08      4.82883      0             2.1E+08      0            0             2.1E+08      4.82883       2.1E+08      0             2.1E+08      4.3835       0             2.1E+08      0            0             2.1E+08      4.3835        2.1E+08      0             2.1E+08      3.81205      0             2.1E+08      0            0             2.1E+08      3.81205       2.1E+08      0             7.1E+08      848.947       3.33333      0.0433885     3.33333      -0.0452082    3.33333      -0.0335705    
   2.2E+08      4.82617      0             2.2E+08      0            0             2.2E+08      4.82617       2.2E+08      0             2.2E+08      4.37735      0             2.2E+08      0            0             2.2E+08      4.37735       2.2E+08      0             2.2E+08      3.81972      0             2.2E+08      0            0             2.2E+08      3.81972       2.2E+08      0             7.2E+08      833.222       3.66667      0.0464986     3.66667      -0.0467956    3.66667      -0.0322384    
   2.3E+08      4.82471      0             2.3E+08      0            0             2.3E+08      4.82471       2.3E+08      0             2.3E+08      4.3825       0             2.3E+08      0            0             2.3E+08      4.3825        2.3E+08      0             2.3E+08      3.81542      0             2.3E+08      0            0             2.3E+08      3.81542       2.3E+08      0             7.3E+08      895.526       3.66667      0.0464933     3.66667      -0.0467831    3.66667      -0.0322285    
   2.4E+08      4.82969      0             2.4E+08      0            0             2.4E+08      4.82969       2.4E+08      0             2.4E+08      4.38165      0             2.4E+08      0            0             2.4E+08      4.38165       2.4E+08      0             2.4E+08      3.81255      0             2.4E+08      0            0             2.4E+08      3.81255       2.4E+08      0             7.4E+08      897.283       4            0.049482      4            -0.0479648    4            -0.0301904    
