# This file was created by gnuplotFile.py version $Revision: 67 $ on Fri Jun  1 10:10:29 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# 
# SN           SN          meanV1       meanV1      Vector0      Vector0     Vector1      Vector1     Vector2      Vector2     Vector3      Vector3     Vector4      Vector4     
# x-coord      y-coord     x-coord      y-coord     x-coord      y-coord     x-coord      y-coord     x-coord      y-coord     x-coord      y-coord     x-coord      y-coord     
  0.01         0.013338    0.01         0.014001    0.01         0.09811     0.01         -0.14586    0.01         -0.14044    0.01         -0.14822    0.01         0.19594     
  0.03         0.014209    0.03         0.014455    0.03         0.10129     0.03         -0.13519    0.03         -0.17758    0.03         -0.16206    0.03         0.21799     
  0.05         0.015099    0.05         0.015147    0.05         0.10614     0.05         -0.14787    0.05         -0.15112    0.05         -0.20703    0.05         0.15325     
  0.07         0.015897    0.07         0.01668     0.07         0.11688     0.07         -0.16181    0.07         -0.16207    0.07         -0.18341    0.07         0.17083     
  0.09         0.016624    0.09         0.017923    0.09         0.12559     0.09         -0.18025    0.09         -0.20679    0.09         -0.16866    0.09         0.13728     
  0.11         0.017293    0.11         0.018167    0.11         0.1273      0.11         -0.18438    0.11         -0.19066    0.11         -0.14227    0.11         0.11629     
  0.13         0.017912    0.13         0.01819     0.13         0.12747     0.13         -0.18672    0.13         -0.17295    0.13         -0.10867    0.13         0.11141     
  0.15         0.018488    0.15         0.018278    0.15         0.12808     0.15         -0.18522    0.15         -0.15947    0.15         -0.061377   0.15         0.0014289   
  0.17         0.019024    0.17         0.018955    0.17         0.13283     0.17         -0.18975    0.17         -0.13023    0.17         -0.054194   0.17         -0.054744   
  0.19         0.019525    0.19         0.019764    0.19         0.13849     0.19         -0.18459    0.19         -0.11438    0.19         -0.017306   0.19         -0.13261    
  0.21         0.019991    0.21         0.019282    0.21         0.13512     0.21         -0.15948    0.21         -0.11974    0.21         0.023232    0.21         -0.19805    
  0.23         0.020424    0.23         0.02064     0.23         0.14463     0.23         -0.17156    0.23         -0.093467   0.23         0.042713    0.23         -0.19772    
  0.25         0.020826    0.25         0.020618    0.25         0.14448     0.25         -0.16928    0.25         -0.028773   0.25         0.070858    0.25         -0.22882    
  0.27         0.021196    0.27         0.021063    0.27         0.1476      0.27         -0.15878    0.27         -0.0081213  0.27         0.15294     0.27         -0.22776    
  0.29         0.021536    0.29         0.020893    0.29         0.1464      0.29         -0.139      0.29         0.0077211   0.29         0.14736     0.29         -0.24619    
  0.31         0.021845    0.31         0.022198    0.31         0.15555     0.31         -0.14177    0.31         0.034263    0.31         0.13581     0.31         -0.16495    
  0.33         0.022124    0.33         0.020936    0.33         0.14671     0.33         -0.12501    0.33         0.054352    0.33         0.18273     0.33         -0.11348    
  0.35         0.022372    0.35         0.022704    0.35         0.1591      0.35         -0.11384    0.35         0.076636    0.35         0.1971      0.35         -0.035027   
  0.37         0.022591    0.37         0.022486    0.37         0.15757     0.37         -0.091443   0.37         0.13328     0.37         0.16514     0.37         -0.0062571  
  0.39         0.022779    0.39         0.022382    0.39         0.15684     0.39         -0.086814   0.39         0.1478      0.39         0.1996      0.39         0.042093    
  0.41         0.022937    0.41         0.022371    0.41         0.15676     0.41         -0.072606   0.41         0.18737     0.41         0.17581     0.41         0.073965    
  0.43         0.023065    0.43         0.023026    0.43         0.16135     0.43         -0.046374   0.43         0.17708     0.43         0.16771     0.43         0.13949     
  0.45         0.023163    0.45         0.023262    0.45         0.163       0.45         -0.032248   0.45         0.19414     0.45         0.12393     0.45         0.16602     
  0.47         0.023231    0.47         0.02266     0.47         0.15879     0.47         -0.016263   0.47         0.20188     0.47         0.083162    0.47         0.17862     
  0.49         0.023268    0.49         0.023136    0.49         0.16212     0.49         -0.0033426  0.49         0.21075     0.49         0.033504    0.49         0.15778     
  0.51         0.023273    0.51         0.022185    0.51         0.15546     0.51         0.018462    0.51         0.19315     0.51         -0.0011111  0.51         0.19401     
  0.53         0.023243    0.53         0.022695    0.53         0.15903     0.53         0.02766     0.53         0.19958     0.53         -0.046563   0.53         0.19021     
  0.55         0.023183    0.55         0.022442    0.55         0.15726     0.55         0.036707    0.55         0.19329     0.55         -0.11122    0.55         0.1199      
  0.57         0.023092    0.57         0.022386    0.57         0.15686     0.57         0.050861    0.57         0.1737      0.57         -0.10696    0.57         0.077863    
  0.59         0.022972    0.59         0.02306     0.59         0.16159     0.59         0.072054    0.59         0.15685     0.59         -0.18129    0.59         0.023535    
  0.61         0.022821    0.61         0.022095    0.61         0.15483     0.61         0.085572    0.61         0.11454     0.61         -0.20205    0.61         -0.0075347  
  0.63         0.02264     0.63         0.022016    0.63         0.15428     0.63         0.096957    0.63         0.10515     0.63         -0.20567    0.63         -0.034733   
  0.65         0.02243     0.65         0.021415    0.65         0.15006     0.65         0.1052      0.65         0.086559    0.65         -0.20182    0.65         -0.10219    
  0.67         0.022189    0.67         0.022441    0.67         0.15726     0.67         0.12386     0.67         0.066163    0.67         -0.17493    0.67         -0.16249    
  0.69         0.021917    0.69         0.022388    0.69         0.15688     0.69         0.12615     0.69         0.038999    0.69         -0.18134    0.69         -0.15587    
  0.71         0.021616    0.71         0.021327    0.71         0.14945     0.71         0.14174     0.71         -0.0029476  0.71         -0.16902    0.71         -0.15548    
  0.73         0.021284    0.73         0.02135     0.73         0.14961     0.73         0.14793     0.73         -0.052109   0.73         -0.1507     0.73         -0.17712    
  0.75         0.020921    0.75         0.021105    0.75         0.14789     0.75         0.16493     0.75         -0.050931   0.75         -0.10926    0.75         -0.15239    
  0.77         0.020528    0.77         0.021385    0.77         0.14985     0.77         0.16714     0.77         -0.080234   0.77         -0.057068   0.77         -0.13631    
  0.79         0.020102    0.79         0.019854    0.79         0.13912     0.79         0.19375     0.79         -0.089078   0.79         -0.0010557  0.79         -0.1365     
  0.81         0.019644    0.81         0.019377    0.81         0.13578     0.81         0.17856     0.81         -0.12761    0.81         0.015733    0.81         -0.055071   
  0.83         0.019153    0.83         0.019757    0.83         0.13845     0.83         0.18823     0.83         -0.1257     0.83         0.024565    0.83         -0.039144   
