# This file was created by gnuplotFile.py version $Revision: 67 $ on Thu May 31 13:32:36 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# 
# 1000         1000        5000         5000        100000       100000      10000        10000       50000        50000       
# x-coord      y-coord     x-coord      y-coord     x-coord      y-coord     x-coord      y-coord     x-coord      y-coord     
  1            3.8691E-05  1            4.4206E-05  1            1.7003E-05  1            1.9529E-05  1            1.0554E-05  
  2            3.5275E-05  2            0.00014599  2            0.00024213  2            1.5335E-05  2            0.00022224  
  3            3.0679E-05  3            9.1342E-05  3            1.0259E-05  3            4.4759E-05  3            1.029E-05   
  4            4.8345E-05  4            0.00015359  4            0.0002291   4            1.7109E-05  4            0.00019132  
  5            4.5762E-05  5            9.0626E-05  5            9.5167E-06  5            1.0682E-05  5            1.8232E-05  
  6            2.3121E-05  6            4.8604E-05  6            2.9516E-06  6            6.2241E-06  6            0.00025869  
  7            3.216E-05   7            0.00012977  7            1.6156E-06  7            4.73E-06    7            1.0085E-05  
  8            3.3981E-05  8            0.00025724  8            9.7767E-07  8            6.6799E-06  8            0.00024525  
  9            3.3657E-05  9            7.3536E-05  9            6.2134E-07  9            1.2561E-05  9            1.3329E-05  
  10           3.7263E-05  10           5.0183E-05  10           4.1037E-07  10           2.6695E-05  10           0.00026752  
