# This file was created by gnuplotFile.py version $Revision: 67 $ on Tue May 22 15:04:33 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# 
# Power        Power       Arnoldi      Arnoldi     
# x-coord      y-coord     x-coord      y-coord     
  0            0.467       0            0.44147     
  1            0.46466     1            0.44762     
  2            0.43864     2            0.44823     
  3            0.45049     3            0.44866     
  4            0.4658      4            0.44859     
  5            0.46161     5            0.44859     
  6            0.475       6            0.44861     
  7            0.43747     7            0.44861     
  8            0.44272     8            0.44861     
  9            0.44848     9            0.44861     
  10           0.44893     10           0.44861     
  11           0.44489     11           0.44861     
  12           0.44845     12           0.44861     
  13           0.47625     13           0.44861     
  14           0.44863     14           0.44861     
  15           0.45939     15           0.44861     
  16           0.42953     16           0.44861     
  17           0.45187     17           0.44861     
  18           0.43967     18           0.44861     
  19           0.42384     19           0.44861     
  20           0.41452     20           0.44861     
  21           0.42654     21           0.44861     
  22           0.46151     22           0.44861     
  23           0.4629      23           0.44861     
  24           0.43512     24           0.44861     
  25           0.42773     25           0.44861     
  26           0.4397      26           0.44861     
  27           0.48411     27           0.44861     
  28           0.4478      28           0.44861     
  29           0.43974     29           0.44861     
  30           0.47536     30           0.44861     
  31           0.43686     31           0.44861     
  32           0.42725     32           0.44861     
  33           0.4469      33           0.44861     
  34           0.44645     34           0.44861     
  35           0.45494     35           0.44861     
  36           0.43947     36           0.44861     
  37           0.46188     37           0.44861     
  38           0.44294     38           0.44861     
  39           0.45358     39           0.44861     
  40           0.44496     40           0.44861     
  41           0.45163     41           0.44861     
  42           0.44305     42           0.44861     
  43           0.45811     43           0.44861     
  44           0.45857     44           0.44861     
  45           0.45628     45           0.44861     
  46           0.45902     46           0.44861     
  47           0.43285     47           0.44861     
  48           0.46445     48           0.44861     
  49           0.4403      49           0.44861     
  50           0.45175     50           0.44861     
  51           0.44407     51           0.44861     
  52           0.45606     52           0.44861     
  53           0.45743     53           0.44861     
  54           0.46292     54           0.44861     
  55           0.45273     55           0.44861     
  56           0.43055     56           0.44861     
  57           0.43571     57           0.44861     
  58           0.47493     58           0.44861     
  59           0.45498     59           0.44861     
  60           0.46545     60           0.44861     
  61           0.45614     61           0.44861     
  62           0.46115     62           0.44861     
  63           0.45009     63           0.44861     
  64           0.44244     64           0.44861     
  65           0.45615     65           0.44861     
  66           0.4484      66           0.44861     
  67           0.45961     67           0.44861     
  68           0.45961     68           0.44861     
  69           0.43387     69           0.44861     
  70           0.45643     70           0.44861     
  71           0.46465     71           0.44861     
  72           0.45768     72           0.44861     
  73           0.45539     73           0.44861     
  74           0.43171     74           0.44861     
  75           0.47704     75           0.44861     
  76           0.45414     76           0.44861     
  77           0.43143     77           0.44861     
  78           0.45559     78           0.44861     
  79           0.46334     79           0.44861     
  80           0.46334     80           0.44861     
  81           0.43878     81           0.44861     
  82           0.42255     82           0.44861     
  83           0.42424     83           0.44861     
  84           0.44842     84           0.44861     
  85           0.45559     85           0.44861     
  86           0.42734     86           0.44861     
  87           0.43119     87           0.44861     
  88           0.46267     88           0.44861     
  89           0.44509     89           0.44861     
  90           0.45221     90           0.44861     
  91           0.45899     91           0.44861     
  92           0.45899     92           0.44861     
  93           0.4567      93           0.44861     
  94           0.45487     94           0.44861     
  95           0.44896     95           0.44861     
  96           0.44985     96           0.44861     
  97           0.46245     97           0.44861     
  98           0.43933     98           0.44861     
  99           0.42966     99           0.44861     
